------------- opcode for test0 --------------
op: PUSH1 gas: 0xd131 gasCost: 3
op: PUSH1 gas: 0xd12e gasCost: 3
op: MSTORE gas: 0xd12b gasCost: 12
op: PUSH1 gas: 0xd11f gasCost: 3
op: CALLDATASIZE gas: 0xd11c gasCost: 2
op: LT gas: 0xd11a gasCost: 3
op: PUSH2 gas: 0xd117 gasCost: 3
op: JUMPI gas: 0xd114 gasCost: 10
op: PUSH1 gas: 0xd10a gasCost: 3
op: CALLDATALOAD gas: 0xd107 gasCost: 3
op: PUSH1 gas: 0xd104 gasCost: 3
op: SHR gas: 0xd101 gasCost: 3
op: DUP1 gas: 0xd0fe gasCost: 3
op: PUSH4 gas: 0xd0fb gasCost: 3
op: EQ gas: 0xd0f8 gasCost: 3
op: PUSH2 gas: 0xd0f5 gasCost: 3
op: JUMPI gas: 0xd0f2 gasCost: 10
op: DUP1 gas: 0xd0e8 gasCost: 3
op: PUSH4 gas: 0xd0e5 gasCost: 3
op: EQ gas: 0xd0e2 gasCost: 3
op: PUSH2 gas: 0xd0df gasCost: 3
op: JUMPI gas: 0xd0dc gasCost: 10
op: DUP1 gas: 0xd0d2 gasCost: 3
op: PUSH4 gas: 0xd0cf gasCost: 3
op: EQ gas: 0xd0cc gasCost: 3
op: PUSH2 gas: 0xd0c9 gasCost: 3
op: JUMPI gas: 0xd0c6 gasCost: 10
op: DUP1 gas: 0xd0bc gasCost: 3
op: PUSH4 gas: 0xd0b9 gasCost: 3
op: EQ gas: 0xd0b6 gasCost: 3
op: PUSH2 gas: 0xd0b3 gasCost: 3
op: JUMPI gas: 0xd0b0 gasCost: 10
op: JUMPDEST gas: 0xd0a6 gasCost: 1
op: CALLVALUE gas: 0xd0a5 gasCost: 2
op: DUP1 gas: 0xd0a3 gasCost: 3
op: ISZERO gas: 0xd0a0 gasCost: 3
op: PUSH2 gas: 0xd09d gasCost: 3
op: JUMPI gas: 0xd09a gasCost: 10
op: JUMPDEST gas: 0xd090 gasCost: 1
op: POP gas: 0xd08f gasCost: 2
op: PUSH2 gas: 0xd08d gasCost: 3
op: PUSH2 gas: 0xd08a gasCost: 3
op: JUMP gas: 0xd087 gasCost: 8
op: JUMPDEST gas: 0xd07f gasCost: 1
op: PUSH1 gas: 0xd07e gasCost: 3
op: PUSH2 gas: 0xd07b gasCost: 3
op: PUSH2 gas: 0xd078 gasCost: 3
op: JUMP gas: 0xd075 gasCost: 8
op: JUMPDEST gas: 0xd06d gasCost: 1
op: PUSH1 gas: 0xd06c gasCost: 3
op: DUP1 gas: 0xd069 gasCost: 3
op: TIMESTAMP gas: 0xd066 gasCost: 2
op: SWAP1 gas: 0xd064 gasCost: 3
op: POP gas: 0xd061 gasCost: 2
op: PUSH1 gas: 0xd05f gasCost: 3
op: CALLER gas: 0xd05c gasCost: 2
op: SWAP1 gas: 0xd05a gasCost: 3
op: POP gas: 0xd057 gasCost: 2
op: PUSH1 gas: 0xd055 gasCost: 3
op: PUSH1 gas: 0xd052 gasCost: 3
op: PUSH1 gas: 0xd04f gasCost: 3
op: ADD gas: 0xd04c gasCost: 3
op: PUSH1 gas: 0xd049 gasCost: 3
op: SWAP1 gas: 0xd046 gasCost: 3
op: SLOAD gas: 0xd043 gasCost: 2100
op: SWAP1 gas: 0xc80f gasCost: 3
op: PUSH2 gas: 0xc80c gasCost: 3
op: EXP gas: 0xc809 gasCost: 10
op: SWAP1 gas: 0xc7ff gasCost: 3
op: DIV gas: 0xc7fc gasCost: 5
op: PUSH20 gas: 0xc7f7 gasCost: 3
op: AND gas: 0xc7f4 gasCost: 3
op: SWAP1 gas: 0xc7f1 gasCost: 3
op: POP gas: 0xc7ee gasCost: 2
op: PUSH1 gas: 0xc7ec gasCost: 3
op: PUSH1 gas: 0xc7e9 gasCost: 3
op: PUSH1 gas: 0xc7e6 gasCost: 3
op: ADD gas: 0xc7e3 gasCost: 3
op: SLOAD gas: 0xc7e0 gasCost: 2100
op: SWAP1 gas: 0xbfac gasCost: 3
op: POP gas: 0xbfa9 gasCost: 2
op: PUSH1 gas: 0xbfa7 gasCost: 3
op: PUSH1 gas: 0xbfa4 gasCost: 3
op: PUSH1 gas: 0xbfa1 gasCost: 3
op: ADD gas: 0xbf9e gasCost: 3
op: SLOAD gas: 0xbf9b gasCost: 2100
op: SWAP1 gas: 0xb767 gasCost: 3
op: POP gas: 0xb764 gasCost: 2
op: PUSH1 gas: 0xb762 gasCost: 3
op: PUSH1 gas: 0xb75f gasCost: 3
op: ADD gas: 0xb75c gasCost: 3
op: PUSH1 gas: 0xb759 gasCost: 3
op: SWAP1 gas: 0xb756 gasCost: 3
op: SLOAD gas: 0xb753 gasCost: 2100
op: SWAP1 gas: 0xaf1f gasCost: 3
op: PUSH2 gas: 0xaf1c gasCost: 3
op: EXP gas: 0xaf19 gasCost: 10
op: SWAP1 gas: 0xaf0f gasCost: 3
op: DIV gas: 0xaf0c gasCost: 5
op: PUSH1 gas: 0xaf07 gasCost: 3
