------------- opcode for test0 --------------
op: PUSH1 gas: 0x9dbd gasCost: 3
op: PUSH1 gas: 0x9dba gasCost: 3
op: MSTORE gas: 0x9db7 gasCost: 12
op: CALLVALUE gas: 0x9dab gasCost: 2
op: DUP1 gas: 0x9da9 gasCost: 3
op: ISZERO gas: 0x9da6 gasCost: 3
op: PUSH2 gas: 0x9da3 gasCost: 3
op: JUMPI gas: 0x9da0 gasCost: 10
op: JUMPDEST gas: 0x9d96 gasCost: 1
op: POP gas: 0x9d95 gasCost: 2
op: PUSH1 gas: 0x9d93 gasCost: 3
op: CALLDATASIZE gas: 0x9d90 gasCost: 2
op: LT gas: 0x9d8e gasCost: 3
op: PUSH2 gas: 0x9d8b gasCost: 3
op: JUMPI gas: 0x9d88 gasCost: 10
op: PUSH1 gas: 0x9d7e gasCost: 3
op: CALLDATALOAD gas: 0x9d7b gasCost: 3
op: PUSH1 gas: 0x9d78 gasCost: 3
op: SHR gas: 0x9d75 gasCost: 3
op: DUP1 gas: 0x9d72 gasCost: 3
op: PUSH4 gas: 0x9d6f gasCost: 3
op: GT gas: 0x9d6c gasCost: 3
op: PUSH2 gas: 0x9d69 gasCost: 3
op: JUMPI gas: 0x9d66 gasCost: 10
op: JUMPDEST gas: 0x9d5c gasCost: 1
op: DUP1 gas: 0x9d5b gasCost: 3
op: PUSH4 gas: 0x9d58 gasCost: 3
op: EQ gas: 0x9d55 gasCost: 3
op: PUSH2 gas: 0x9d52 gasCost: 3
op: JUMPI gas: 0x9d4f gasCost: 10
op: JUMPDEST gas: 0x9d45 gasCost: 1
op: PUSH2 gas: 0x9d44 gasCost: 3
op: PUSH1 gas: 0x9d41 gasCost: 3
op: DUP1 gas: 0x9d3e gasCost: 3
op: CALLDATASIZE gas: 0x9d3b gasCost: 2
op: SUB gas: 0x9d39 gasCost: 3
op: DUP2 gas: 0x9d36 gasCost: 3
op: ADD gas: 0x9d33 gasCost: 3
op: SWAP1 gas: 0x9d30 gasCost: 3
op: PUSH2 gas: 0x9d2d gasCost: 3
op: SWAP2 gas: 0x9d2a gasCost: 3
op: SWAP1 gas: 0x9d27 gasCost: 3
op: PUSH2 gas: 0x9d24 gasCost: 3
op: JUMP gas: 0x9d21 gasCost: 8
op: JUMPDEST gas: 0x9d19 gasCost: 1
op: PUSH1 gas: 0x9d18 gasCost: 3
op: DUP1 gas: 0x9d15 gasCost: 3
op: PUSH1 gas: 0x9d12 gasCost: 3
op: DUP4 gas: 0x9d0f gasCost: 3
op: DUP6 gas: 0x9d0c gasCost: 3
op: SUB gas: 0x9d09 gasCost: 3
op: SLT gas: 0x9d06 gasCost: 3
op: ISZERO gas: 0x9d03 gasCost: 3
op: PUSH2 gas: 0x9d00 gasCost: 3
op: JUMPI gas: 0x9cfd gasCost: 10
op: JUMPDEST gas: 0x9cf3 gasCost: 1
op: PUSH1 gas: 0x9cf2 gasCost: 3
op: PUSH2 gas: 0x9cef gasCost: 3
op: DUP6 gas: 0x9cec gasCost: 3
op: DUP3 gas: 0x9ce9 gasCost: 3
op: DUP7 gas: 0x9ce6 gasCost: 3
op: ADD gas: 0x9ce3 gasCost: 3
op: PUSH2 gas: 0x9ce0 gasCost: 3
op: JUMP gas: 0x9cdd gasCost: 8
op: JUMPDEST gas: 0x9cd5 gasCost: 1
op: PUSH1 gas: 0x9cd4 gasCost: 3
op: DUP2 gas: 0x9cd1 gasCost: 3
op: CALLDATALOAD gas: 0x9cce gasCost: 3
op: SWAP1 gas: 0x9ccb gasCost: 3
op: POP gas: 0x9cc8 gasCost: 2
op: PUSH2 gas: 0x9cc6 gasCost: 3
op: DUP2 gas: 0x9cc3 gasCost: 3
op: PUSH2 gas: 0x9cc0 gasCost: 3
op: JUMP gas: 0x9cbd gasCost: 8
op: JUMPDEST gas: 0x9cb5 gasCost: 1
op: PUSH2 gas: 0x9cb4 gasCost: 3
op: DUP2 gas: 0x9cb1 gasCost: 3
op: PUSH2 gas: 0x9cae gasCost: 3
op: JUMP gas: 0x9cab gasCost: 8
op: JUMPDEST gas: 0x9ca3 gasCost: 1
op: PUSH1 gas: 0x9ca2 gasCost: 3
op: PUSH2 gas: 0x9c9f gasCost: 3
op: DUP3 gas: 0x9c9c gasCost: 3
op: PUSH2 gas: 0x9c99 gasCost: 3
op: JUMP gas: 0x9c96 gasCost: 8
op: JUMPDEST gas: 0x9c8e gasCost: 1
op: PUSH1 gas: 0x9c8d gasCost: 3
op: PUSH20 gas: 0x9c8a gasCost: 3
op: DUP3 gas: 0x9c87 gasCost: 3
op: AND gas: 0x9c84 gasCost: 3
op: SWAP1 gas: 0x9c81 gasCost: 3
op: POP gas: 0x9c7e gasCost: 2
op: SWAP2 gas: 0x9c7c gasCost: 3
op: SWAP1 gas: 0x9c79 gasCost: 3
op: POP gas: 0x9c76 gasCost: 2
op: JUMP gas: 0x9c74 gasCost: 8
op: JUMPDEST gas: 0x9c6c gasCost: 1
