------------- opcode for test0 --------------
op: PUSH1 gas: 0x6b07 gasCost: 3
op: PUSH1 gas: 0x6b04 gasCost: 3
op: MSTORE gas: 0x6b01 gasCost: 12
op: CALLVALUE gas: 0x6af5 gasCost: 2
op: DUP1 gas: 0x6af3 gasCost: 3
op: ISZERO gas: 0x6af0 gasCost: 3
op: PUSH2 gas: 0x6aed gasCost: 3
op: JUMPI gas: 0x6aea gasCost: 10
op: JUMPDEST gas: 0x6ae0 gasCost: 1
op: POP gas: 0x6adf gasCost: 2
op: PUSH1 gas: 0x6add gasCost: 3
op: CALLDATASIZE gas: 0x6ada gasCost: 2
op: LT gas: 0x6ad8 gasCost: 3
op: PUSH2 gas: 0x6ad5 gasCost: 3
op: JUMPI gas: 0x6ad2 gasCost: 10
op: PUSH1 gas: 0x6ac8 gasCost: 3
op: CALLDATALOAD gas: 0x6ac5 gasCost: 3
op: PUSH1 gas: 0x6ac2 gasCost: 3
op: SHR gas: 0x6abf gasCost: 3
op: DUP1 gas: 0x6abc gasCost: 3
op: PUSH4 gas: 0x6ab9 gasCost: 3
op: GT gas: 0x6ab6 gasCost: 3
op: PUSH2 gas: 0x6ab3 gasCost: 3
op: JUMPI gas: 0x6ab0 gasCost: 10
op: DUP1 gas: 0x6aa6 gasCost: 3
op: PUSH4 gas: 0x6aa3 gasCost: 3
op: EQ gas: 0x6aa0 gasCost: 3
op: PUSH2 gas: 0x6a9d gasCost: 3
op: JUMPI gas: 0x6a9a gasCost: 10
op: DUP1 gas: 0x6a90 gasCost: 3
op: PUSH4 gas: 0x6a8d gasCost: 3
op: EQ gas: 0x6a8a gasCost: 3
op: PUSH2 gas: 0x6a87 gasCost: 3
op: JUMPI gas: 0x6a84 gasCost: 10
op: JUMPDEST gas: 0x6a7a gasCost: 1
op: PUSH2 gas: 0x6a79 gasCost: 3
op: PUSH1 gas: 0x6a76 gasCost: 3
op: DUP1 gas: 0x6a73 gasCost: 3
op: CALLDATASIZE gas: 0x6a70 gasCost: 2
op: SUB gas: 0x6a6e gasCost: 3
op: DUP2 gas: 0x6a6b gasCost: 3
op: ADD gas: 0x6a68 gasCost: 3
op: SWAP1 gas: 0x6a65 gasCost: 3
op: PUSH2 gas: 0x6a62 gasCost: 3
op: SWAP2 gas: 0x6a5f gasCost: 3
op: SWAP1 gas: 0x6a5c gasCost: 3
op: PUSH2 gas: 0x6a59 gasCost: 3
op: JUMP gas: 0x6a56 gasCost: 8
op: JUMPDEST gas: 0x6a4e gasCost: 1
op: PUSH1 gas: 0x6a4d gasCost: 3
op: DUP1 gas: 0x6a4a gasCost: 3
op: PUSH1 gas: 0x6a47 gasCost: 3
op: DUP4 gas: 0x6a44 gasCost: 3
op: DUP6 gas: 0x6a41 gasCost: 3
op: SUB gas: 0x6a3e gasCost: 3
op: SLT gas: 0x6a3b gasCost: 3
op: ISZERO gas: 0x6a38 gasCost: 3
op: PUSH2 gas: 0x6a35 gasCost: 3
op: JUMPI gas: 0x6a32 gasCost: 10
op: JUMPDEST gas: 0x6a28 gasCost: 1
op: PUSH1 gas: 0x6a27 gasCost: 3
op: PUSH2 gas: 0x6a24 gasCost: 3
op: DUP6 gas: 0x6a21 gasCost: 3
op: DUP3 gas: 0x6a1e gasCost: 3
op: DUP7 gas: 0x6a1b gasCost: 3
op: ADD gas: 0x6a18 gasCost: 3
op: PUSH2 gas: 0x6a15 gasCost: 3
op: JUMP gas: 0x6a12 gasCost: 8
op: JUMPDEST gas: 0x6a0a gasCost: 1
op: PUSH1 gas: 0x6a09 gasCost: 3
op: DUP2 gas: 0x6a06 gasCost: 3
op: CALLDATALOAD gas: 0x6a03 gasCost: 3
op: SWAP1 gas: 0x6a00 gasCost: 3
op: POP gas: 0x69fd gasCost: 2
op: PUSH2 gas: 0x69fb gasCost: 3
op: DUP2 gas: 0x69f8 gasCost: 3
op: PUSH2 gas: 0x69f5 gasCost: 3
op: JUMP gas: 0x69f2 gasCost: 8
op: JUMPDEST gas: 0x69ea gasCost: 1
op: PUSH2 gas: 0x69e9 gasCost: 3
op: DUP2 gas: 0x69e6 gasCost: 3
op: PUSH2 gas: 0x69e3 gasCost: 3
op: JUMP gas: 0x69e0 gasCost: 8
op: JUMPDEST gas: 0x69d8 gasCost: 1
op: PUSH1 gas: 0x69d7 gasCost: 3
op: PUSH2 gas: 0x69d4 gasCost: 3
op: DUP3 gas: 0x69d1 gasCost: 3
op: PUSH2 gas: 0x69ce gasCost: 3
op: JUMP gas: 0x69cb gasCost: 8
op: JUMPDEST gas: 0x69c3 gasCost: 1
op: PUSH1 gas: 0x69c2 gasCost: 3
op: PUSH20 gas: 0x69bf gasCost: 3
op: DUP3 gas: 0x69bc gasCost: 3
op: AND gas: 0x69b9 gasCost: 3
op: SWAP1 gas: 0x69b6 gasCost: 3
op: POP gas: 0x69b3 gasCost: 2
op: SWAP2 gas: 0x69b1 gasCost: 3
op: SWAP1 gas: 0x69ae gasCost: 3
op: POP gas: 0x69ab gasCost: 2
op: JUMP gas: 0x69a9 gasCost: 8
op: JUMPDEST gas: 0x69a1 gasCost: 1
op: SWAP1 gas: 0x69a0 gasCost: 3
op: POP gas: 0x699d gasCost: 2
op: SWAP2 gas: 0x699b gasCost: 3
op: SWAP1 gas: 0x6998 gasCost: 3
op: POP gas: 0x6995 gasCost: 2
op: JUMP gas: 0x6993 gasCost: 8
op: JUMPDEST gas: 0x698b gasCost: 1
op: DUP2 gas: 0x698a gasCost: 3
op: EQ gas: 0x6987 gasCost: 3
op: PUSH2 gas: 0x6984 gasCost: 3
op: JUMPI gas: 0x6981 gasCost: 10
op: JUMPDEST gas: 0x6977 gasCost: 1
op: POP gas: 0x6976 gasCost: 2
op: JUMP gas: 0x6974 gasCost: 8
op: JUMPDEST gas: 0x696c gasCost: 1
op: SWAP3 gas: 0x696b gasCost: 3
op: SWAP2 gas: 0x6968 gasCost: 3
op: POP gas: 0x6965 gasCost: 2
op: POP gas: 0x6963 gasCost: 2
op: JUMP gas: 0x6961 gasCost: 8
op: JUMPDEST gas: 0x6959 gasCost: 1
op: SWAP3 gas: 0x6958 gasCost: 3
op: POP gas: 0x6955 gasCost: 2
op: POP gas: 0x6953 gasCost: 2
op: PUSH1 gas: 0x6951 gasCost: 3
op: PUSH2 gas: 0x694e gasCost: 3
op: DUP6 gas: 0x694b gasCost: 3
op: DUP3 gas: 0x6948 gasCost: 3
op: DUP7 gas: 0x6945 gasCost: 3
op: ADD gas: 0x6942 gasCost: 3
op: PUSH2 gas: 0x693f gasCost: 3
op: JUMP gas: 0x693c gasCost: 8
op: JUMPDEST gas: 0x6934 gasCost: 1
op: PUSH1 gas: 0x6933 gasCost: 3
op: DUP2 gas: 0x6930 gasCost: 3
op: CALLDATALOAD gas: 0x692d gasCost: 3
op: SWAP1 gas: 0x692a gasCost: 3
op: POP gas: 0x6927 gasCost: 2
op: PUSH2 gas: 0x6925 gasCost: 3
op: DUP2 gas: 0x6922 gasCost: 3
op: PUSH2 gas: 0x691f gasCost: 3
op: JUMP gas: 0x691c gasCost: 8
op: JUMPDEST gas: 0x6914 gasCost: 1
op: PUSH2 gas: 0x6913 gasCost: 3
op: DUP2 gas: 0x6910 gasCost: 3
op: PUSH2 gas: 0x690d gasCost: 3
op: JUMP gas: 0x690a gasCost: 8
op: JUMPDEST gas: 0x6902 gasCost: 1
op: PUSH1 gas: 0x6901 gasCost: 3
op: DUP2 gas: 0x68fe gasCost: 3
op: SWAP1 gas: 0x68fb gasCost: 3
op: POP gas: 0x68f8 gasCost: 2
op: SWAP2 gas: 0x68f6 gasCost: 3
op: SWAP1 gas: 0x68f3 gasCost: 3
op: POP gas: 0x68f0 gasCost: 2
op: JUMP gas: 0x68ee gasCost: 8
op: JUMPDEST gas: 0x68e6 gasCost: 1
op: DUP2 gas: 0x68e5 gasCost: 3
op: EQ gas: 0x68e2 gasCost: 3
op: PUSH2 gas: 0x68df gasCost: 3
op: JUMPI gas: 0x68dc gasCost: 10
op: JUMPDEST gas: 0x68d2 gasCost: 1
op: POP gas: 0x68d1 gasCost: 2
op: JUMP gas: 0x68cf gasCost: 8
op: JUMPDEST gas: 0x68c7 gasCost: 1
op: SWAP3 gas: 0x68c6 gasCost: 3
op: SWAP2 gas: 0x68c3 gasCost: 3
op: POP gas: 0x68c0 gasCost: 2
op: POP gas: 0x68be gasCost: 2
op: JUMP gas: 0x68bc gasCost: 8
op: JUMPDEST gas: 0x68b4 gasCost: 1
op: SWAP2 gas: 0x68b3 gasCost: 3
op: POP gas: 0x68b0 gasCost: 2
op: POP gas: 0x68ae gasCost: 2
op: SWAP3 gas: 0x68ac gasCost: 3
op: POP gas: 0x68a9 gasCost: 2
op: SWAP3 gas: 0x68a7 gasCost: 3
op: SWAP1 gas: 0x68a4 gasCost: 3
op: POP gas: 0x68a1 gasCost: 2
op: JUMP gas: 0x689f gasCost: 8
op: JUMPDEST gas: 0x6897 gasCost: 1
op: PUSH2 gas: 0x6896 gasCost: 3
op: JUMP gas: 0x6893 gasCost: 8
op: JUMPDEST gas: 0x688b gasCost: 1
op: PUSH1 gas: 0x688a gasCost: 3
op: PUSH2 gas: 0x6887 gasCost: 3
op: DUP4 gas: 0x6884 gasCost: 3
op: DUP4 gas: 0x6881 gasCost: 3
op: PUSH2 gas: 0x687e gasCost: 3
op: JUMP gas: 0x687b gasCost: 8
op: JUMPDEST gas: 0x6873 gasCost: 1
op: PUSH1 gas: 0x6872 gasCost: 3
op: DUP1 gas: 0x686f gasCost: 3
op: PUSH1 gas: 0x686c gasCost: 3
op: PUSH1 gas: 0x6869 gasCost: 3
op: ADD gas: 0x6866 gasCost: 3
op: PUSH1 gas: 0x6863 gasCost: 3
op: SWAP1 gas: 0x6860 gasCost: 3
op: SLOAD gas: 0x685d gasCost: 2100
op: SWAP1 gas: 0x6029 gasCost: 3
op: PUSH2 gas: 0x6026 gasCost: 3
op: EXP gas: 0x6023 gasCost: 10
op: SWAP1 gas: 0x6019 gasCost: 3
op: DIV gas: 0x6016 gasCost: 5
op: PUSH20 gas: 0x6011 gasCost: 3
op: AND gas: 0x600e gasCost: 3
