------------- opcode for test0 --------------
op: PUSH1 gas: 0xb633 gasCost: 3
op: PUSH1 gas: 0xb630 gasCost: 3
op: MSTORE gas: 0xb62d gasCost: 12
op: CALLVALUE gas: 0xb621 gasCost: 2
op: DUP1 gas: 0xb61f gasCost: 3
op: ISZERO gas: 0xb61c gasCost: 3
op: PUSH2 gas: 0xb619 gasCost: 3
op: JUMPI gas: 0xb616 gasCost: 10
op: JUMPDEST gas: 0xb60c gasCost: 1
op: POP gas: 0xb60b gasCost: 2
op: PUSH1 gas: 0xb609 gasCost: 3
op: CALLDATASIZE gas: 0xb606 gasCost: 2
op: LT gas: 0xb604 gasCost: 3
op: PUSH2 gas: 0xb601 gasCost: 3
op: JUMPI gas: 0xb5fe gasCost: 10
op: PUSH1 gas: 0xb5f4 gasCost: 3
op: CALLDATALOAD gas: 0xb5f1 gasCost: 3
op: PUSH1 gas: 0xb5ee gasCost: 3
op: SHR gas: 0xb5eb gasCost: 3
op: DUP1 gas: 0xb5e8 gasCost: 3
op: PUSH4 gas: 0xb5e5 gasCost: 3
op: GT gas: 0xb5e2 gasCost: 3
op: PUSH2 gas: 0xb5df gasCost: 3
op: JUMPI gas: 0xb5dc gasCost: 10
op: DUP1 gas: 0xb5d2 gasCost: 3
op: PUSH4 gas: 0xb5cf gasCost: 3
op: EQ gas: 0xb5cc gasCost: 3
op: PUSH2 gas: 0xb5c9 gasCost: 3
op: JUMPI gas: 0xb5c6 gasCost: 10
op: DUP1 gas: 0xb5bc gasCost: 3
op: PUSH4 gas: 0xb5b9 gasCost: 3
op: EQ gas: 0xb5b6 gasCost: 3
op: PUSH2 gas: 0xb5b3 gasCost: 3
op: JUMPI gas: 0xb5b0 gasCost: 10
op: DUP1 gas: 0xb5a6 gasCost: 3
op: PUSH4 gas: 0xb5a3 gasCost: 3
op: EQ gas: 0xb5a0 gasCost: 3
op: PUSH2 gas: 0xb59d gasCost: 3
op: JUMPI gas: 0xb59a gasCost: 10
op: JUMPDEST gas: 0xb590 gasCost: 1
op: PUSH2 gas: 0xb58f gasCost: 3
op: PUSH1 gas: 0xb58c gasCost: 3
op: DUP1 gas: 0xb589 gasCost: 3
op: CALLDATASIZE gas: 0xb586 gasCost: 2
op: SUB gas: 0xb584 gasCost: 3
op: DUP2 gas: 0xb581 gasCost: 3
op: ADD gas: 0xb57e gasCost: 3
op: SWAP1 gas: 0xb57b gasCost: 3
op: PUSH2 gas: 0xb578 gasCost: 3
op: SWAP2 gas: 0xb575 gasCost: 3
op: SWAP1 gas: 0xb572 gasCost: 3
op: PUSH2 gas: 0xb56f gasCost: 3
op: JUMP gas: 0xb56c gasCost: 8
op: JUMPDEST gas: 0xb564 gasCost: 1
op: PUSH1 gas: 0xb563 gasCost: 3
op: DUP1 gas: 0xb560 gasCost: 3
op: PUSH1 gas: 0xb55d gasCost: 3
op: DUP4 gas: 0xb55a gasCost: 3
op: DUP6 gas: 0xb557 gasCost: 3
op: SUB gas: 0xb554 gasCost: 3
op: SLT gas: 0xb551 gasCost: 3
op: ISZERO gas: 0xb54e gasCost: 3
op: PUSH2 gas: 0xb54b gasCost: 3
op: JUMPI gas: 0xb548 gasCost: 10
op: JUMPDEST gas: 0xb53e gasCost: 1
op: PUSH1 gas: 0xb53d gasCost: 3
op: PUSH2 gas: 0xb53a gasCost: 3
op: DUP6 gas: 0xb537 gasCost: 3
op: DUP3 gas: 0xb534 gasCost: 3
op: DUP7 gas: 0xb531 gasCost: 3
op: ADD gas: 0xb52e gasCost: 3
op: PUSH2 gas: 0xb52b gasCost: 3
op: JUMP gas: 0xb528 gasCost: 8
op: JUMPDEST gas: 0xb520 gasCost: 1
op: PUSH1 gas: 0xb51f gasCost: 3
op: DUP2 gas: 0xb51c gasCost: 3
op: CALLDATALOAD gas: 0xb519 gasCost: 3
op: SWAP1 gas: 0xb516 gasCost: 3
op: POP gas: 0xb513 gasCost: 2
op: PUSH2 gas: 0xb511 gasCost: 3
op: DUP2 gas: 0xb50e gasCost: 3
op: PUSH2 gas: 0xb50b gasCost: 3
op: JUMP gas: 0xb508 gasCost: 8
op: JUMPDEST gas: 0xb500 gasCost: 1
op: PUSH2 gas: 0xb4ff gasCost: 3
op: DUP2 gas: 0xb4fc gasCost: 3
op: PUSH2 gas: 0xb4f9 gasCost: 3
op: JUMP gas: 0xb4f6 gasCost: 8
op: JUMPDEST gas: 0xb4ee gasCost: 1
op: PUSH1 gas: 0xb4ed gasCost: 3
op: PUSH2 gas: 0xb4ea gasCost: 3
op: DUP3 gas: 0xb4e7 gasCost: 3
op: PUSH2 gas: 0xb4e4 gasCost: 3
op: JUMP gas: 0xb4e1 gasCost: 8
op: JUMPDEST gas: 0xb4d9 gasCost: 1
op: PUSH1 gas: 0xb4d8 gasCost: 3
op: PUSH20 gas: 0xb4d5 gasCost: 3
op: DUP3 gas: 0xb4d2 gasCost: 3
op: AND gas: 0xb4cf gasCost: 3
op: SWAP1 gas: 0xb4cc gasCost: 3
op: POP gas: 0xb4c9 gasCost: 2
op: SWAP2 gas: 0xb4c7 gasCost: 3
op: SWAP1 gas: 0xb4c4 gasCost: 3
op: POP gas: 0xb4c1 gasCost: 2
op: JUMP gas: 0xb4bf gasCost: 8
op: JUMPDEST gas: 0xb4b7 gasCost: 1
op: SWAP1 gas: 0xb4b6 gasCost: 3
op: POP gas: 0xb4b3 gasCost: 2
op: SWAP2 gas: 0xb4b1 gasCost: 3
op: SWAP1 gas: 0xb4ae gasCost: 3
op: POP gas: 0xb4ab gasCost: 2
