------------- opcode for test0 --------------
op: PUSH1 gas: 0xea54 gasCost: 3
op: PUSH1 gas: 0xea51 gasCost: 3
op: MSTORE gas: 0xea4e gasCost: 12
op: CALLVALUE gas: 0xea42 gasCost: 2
op: DUP1 gas: 0xea40 gasCost: 3
op: ISZERO gas: 0xea3d gasCost: 3
op: PUSH2 gas: 0xea3a gasCost: 3
op: JUMPI gas: 0xea37 gasCost: 10
op: JUMPDEST gas: 0xea2d gasCost: 1
op: POP gas: 0xea2c gasCost: 2
op: PUSH1 gas: 0xea2a gasCost: 3
op: CALLDATASIZE gas: 0xea27 gasCost: 2
op: LT gas: 0xea25 gasCost: 3
op: PUSH2 gas: 0xea22 gasCost: 3
op: JUMPI gas: 0xea1f gasCost: 10
op: PUSH1 gas: 0xea15 gasCost: 3
op: CALLDATALOAD gas: 0xea12 gasCost: 3
op: PUSH1 gas: 0xea0f gasCost: 3
op: SHR gas: 0xea0c gasCost: 3
op: DUP1 gas: 0xea09 gasCost: 3
op: PUSH4 gas: 0xea06 gasCost: 3
op: GT gas: 0xea03 gasCost: 3
op: PUSH2 gas: 0xea00 gasCost: 3
op: JUMPI gas: 0xe9fd gasCost: 10
op: JUMPDEST gas: 0xe9f3 gasCost: 1
op: DUP1 gas: 0xe9f2 gasCost: 3
op: PUSH4 gas: 0xe9ef gasCost: 3
op: EQ gas: 0xe9ec gasCost: 3
op: PUSH2 gas: 0xe9e9 gasCost: 3
op: JUMPI gas: 0xe9e6 gasCost: 10
op: DUP1 gas: 0xe9dc gasCost: 3
op: PUSH4 gas: 0xe9d9 gasCost: 3
op: EQ gas: 0xe9d6 gasCost: 3
op: PUSH2 gas: 0xe9d3 gasCost: 3
op: JUMPI gas: 0xe9d0 gasCost: 10
op: DUP1 gas: 0xe9c6 gasCost: 3
op: PUSH4 gas: 0xe9c3 gasCost: 3
op: EQ gas: 0xe9c0 gasCost: 3
op: PUSH2 gas: 0xe9bd gasCost: 3
op: JUMPI gas: 0xe9ba gasCost: 10
op: JUMPDEST gas: 0xe9b0 gasCost: 1
op: PUSH2 gas: 0xe9af gasCost: 3
op: PUSH1 gas: 0xe9ac gasCost: 3
op: DUP1 gas: 0xe9a9 gasCost: 3
op: CALLDATASIZE gas: 0xe9a6 gasCost: 2
op: SUB gas: 0xe9a4 gasCost: 3
op: DUP2 gas: 0xe9a1 gasCost: 3
op: ADD gas: 0xe99e gasCost: 3
op: SWAP1 gas: 0xe99b gasCost: 3
op: PUSH2 gas: 0xe998 gasCost: 3
op: SWAP2 gas: 0xe995 gasCost: 3
op: SWAP1 gas: 0xe992 gasCost: 3
op: PUSH2 gas: 0xe98f gasCost: 3
op: JUMP gas: 0xe98c gasCost: 8
op: JUMPDEST gas: 0xe984 gasCost: 1
op: PUSH1 gas: 0xe983 gasCost: 3
op: DUP1 gas: 0xe980 gasCost: 3
op: PUSH1 gas: 0xe97d gasCost: 3
op: PUSH1 gas: 0xe97a gasCost: 3
op: DUP5 gas: 0xe977 gasCost: 3
op: DUP7 gas: 0xe974 gasCost: 3
op: SUB gas: 0xe971 gasCost: 3
op: SLT gas: 0xe96e gasCost: 3
op: ISZERO gas: 0xe96b gasCost: 3
op: PUSH2 gas: 0xe968 gasCost: 3
op: JUMPI gas: 0xe965 gasCost: 10
op: JUMPDEST gas: 0xe95b gasCost: 1
op: PUSH1 gas: 0xe95a gasCost: 3
op: PUSH2 gas: 0xe957 gasCost: 3
op: DUP7 gas: 0xe954 gasCost: 3
op: DUP3 gas: 0xe951 gasCost: 3
op: DUP8 gas: 0xe94e gasCost: 3
op: ADD gas: 0xe94b gasCost: 3
op: PUSH2 gas: 0xe948 gasCost: 3
op: JUMP gas: 0xe945 gasCost: 8
op: JUMPDEST gas: 0xe93d gasCost: 1
op: PUSH1 gas: 0xe93c gasCost: 3
op: DUP2 gas: 0xe939 gasCost: 3
op: CALLDATALOAD gas: 0xe936 gasCost: 3
op: SWAP1 gas: 0xe933 gasCost: 3
op: POP gas: 0xe930 gasCost: 2
op: PUSH2 gas: 0xe92e gasCost: 3
op: DUP2 gas: 0xe92b gasCost: 3
op: PUSH2 gas: 0xe928 gasCost: 3
op: JUMP gas: 0xe925 gasCost: 8
op: JUMPDEST gas: 0xe91d gasCost: 1
op: PUSH2 gas: 0xe91c gasCost: 3
op: DUP2 gas: 0xe919 gasCost: 3
op: PUSH2 gas: 0xe916 gasCost: 3
op: JUMP gas: 0xe913 gasCost: 8
op: JUMPDEST gas: 0xe90b gasCost: 1
op: PUSH1 gas: 0xe90a gasCost: 3
