------------- opcode for test0 --------------
op: PUSH1 gas: 0x9ea3 gasCost: 3
op: PUSH1 gas: 0x9ea0 gasCost: 3
op: MSTORE gas: 0x9e9d gasCost: 12
op: CALLVALUE gas: 0x9e91 gasCost: 2
op: DUP1 gas: 0x9e8f gasCost: 3
op: ISZERO gas: 0x9e8c gasCost: 3
op: PUSH2 gas: 0x9e89 gasCost: 3
op: JUMPI gas: 0x9e86 gasCost: 10
op: JUMPDEST gas: 0x9e7c gasCost: 1
op: POP gas: 0x9e7b gasCost: 2
op: PUSH1 gas: 0x9e79 gasCost: 3
op: CALLDATASIZE gas: 0x9e76 gasCost: 2
op: LT gas: 0x9e74 gasCost: 3
op: PUSH2 gas: 0x9e71 gasCost: 3
op: JUMPI gas: 0x9e6e gasCost: 10
op: PUSH1 gas: 0x9e64 gasCost: 3
op: CALLDATALOAD gas: 0x9e61 gasCost: 3
op: PUSH1 gas: 0x9e5e gasCost: 3
op: SHR gas: 0x9e5b gasCost: 3
op: DUP1 gas: 0x9e58 gasCost: 3
op: PUSH4 gas: 0x9e55 gasCost: 3
op: GT gas: 0x9e52 gasCost: 3
op: PUSH2 gas: 0x9e4f gasCost: 3
op: JUMPI gas: 0x9e4c gasCost: 10
op: JUMPDEST gas: 0x9e42 gasCost: 1
op: DUP1 gas: 0x9e41 gasCost: 3
op: PUSH4 gas: 0x9e3e gasCost: 3
op: EQ gas: 0x9e3b gasCost: 3
op: PUSH2 gas: 0x9e38 gasCost: 3
op: JUMPI gas: 0x9e35 gasCost: 10
op: JUMPDEST gas: 0x9e2b gasCost: 1
op: PUSH2 gas: 0x9e2a gasCost: 3
op: PUSH1 gas: 0x9e27 gasCost: 3
op: DUP1 gas: 0x9e24 gasCost: 3
op: CALLDATASIZE gas: 0x9e21 gasCost: 2
op: SUB gas: 0x9e1f gasCost: 3
op: DUP2 gas: 0x9e1c gasCost: 3
op: ADD gas: 0x9e19 gasCost: 3
op: SWAP1 gas: 0x9e16 gasCost: 3
op: PUSH2 gas: 0x9e13 gasCost: 3
op: SWAP2 gas: 0x9e10 gasCost: 3
op: SWAP1 gas: 0x9e0d gasCost: 3
op: PUSH2 gas: 0x9e0a gasCost: 3
op: JUMP gas: 0x9e07 gasCost: 8
op: JUMPDEST gas: 0x9dff gasCost: 1
op: PUSH1 gas: 0x9dfe gasCost: 3
op: DUP1 gas: 0x9dfb gasCost: 3
op: PUSH1 gas: 0x9df8 gasCost: 3
op: DUP4 gas: 0x9df5 gasCost: 3
op: DUP6 gas: 0x9df2 gasCost: 3
op: SUB gas: 0x9def gasCost: 3
op: SLT gas: 0x9dec gasCost: 3
op: ISZERO gas: 0x9de9 gasCost: 3
op: PUSH2 gas: 0x9de6 gasCost: 3
op: JUMPI gas: 0x9de3 gasCost: 10
op: JUMPDEST gas: 0x9dd9 gasCost: 1
op: PUSH1 gas: 0x9dd8 gasCost: 3
op: PUSH2 gas: 0x9dd5 gasCost: 3
op: DUP6 gas: 0x9dd2 gasCost: 3
op: DUP3 gas: 0x9dcf gasCost: 3
op: DUP7 gas: 0x9dcc gasCost: 3
op: ADD gas: 0x9dc9 gasCost: 3
op: PUSH2 gas: 0x9dc6 gasCost: 3
op: JUMP gas: 0x9dc3 gasCost: 8
op: JUMPDEST gas: 0x9dbb gasCost: 1
op: PUSH1 gas: 0x9dba gasCost: 3
op: DUP2 gas: 0x9db7 gasCost: 3
op: CALLDATALOAD gas: 0x9db4 gasCost: 3
op: SWAP1 gas: 0x9db1 gasCost: 3
op: POP gas: 0x9dae gasCost: 2
op: PUSH2 gas: 0x9dac gasCost: 3
op: DUP2 gas: 0x9da9 gasCost: 3
op: PUSH2 gas: 0x9da6 gasCost: 3
op: JUMP gas: 0x9da3 gasCost: 8
op: JUMPDEST gas: 0x9d9b gasCost: 1
op: PUSH2 gas: 0x9d9a gasCost: 3
op: DUP2 gas: 0x9d97 gasCost: 3
op: PUSH2 gas: 0x9d94 gasCost: 3
op: JUMP gas: 0x9d91 gasCost: 8
op: JUMPDEST gas: 0x9d89 gasCost: 1
op: PUSH1 gas: 0x9d88 gasCost: 3
op: PUSH2 gas: 0x9d85 gasCost: 3
op: DUP3 gas: 0x9d82 gasCost: 3
op: PUSH2 gas: 0x9d7f gasCost: 3
op: JUMP gas: 0x9d7c gasCost: 8
op: JUMPDEST gas: 0x9d74 gasCost: 1
op: PUSH1 gas: 0x9d73 gasCost: 3
op: PUSH20 gas: 0x9d70 gasCost: 3
op: DUP3 gas: 0x9d6d gasCost: 3
op: AND gas: 0x9d6a gasCost: 3
op: SWAP1 gas: 0x9d67 gasCost: 3
op: POP gas: 0x9d64 gasCost: 2
op: SWAP2 gas: 0x9d62 gasCost: 3
op: SWAP1 gas: 0x9d5f gasCost: 3
op: POP gas: 0x9d5c gasCost: 2
op: JUMP gas: 0x9d5a gasCost: 8
op: JUMPDEST gas: 0x9d52 gasCost: 1
op: SWAP1 gas: 0x9d51 gasCost: 3
op: POP gas: 0x9d4e gasCost: 2
op: SWAP2 gas: 0x9d4c gasCost: 3
