------------- opcode for test0 --------------
op: PUSH1 gas: 0x10629 gasCost: 3
op: PUSH1 gas: 0x10626 gasCost: 3
op: MSTORE gas: 0x10623 gasCost: 12
op: CALLVALUE gas: 0x10617 gasCost: 2
op: DUP1 gas: 0x10615 gasCost: 3
op: ISZERO gas: 0x10612 gasCost: 3
op: PUSH2 gas: 0x1060f gasCost: 3
op: JUMPI gas: 0x1060c gasCost: 10
op: JUMPDEST gas: 0x10602 gasCost: 1
op: POP gas: 0x10601 gasCost: 2
op: PUSH1 gas: 0x105ff gasCost: 3
op: CALLDATASIZE gas: 0x105fc gasCost: 2
op: LT gas: 0x105fa gasCost: 3
op: PUSH2 gas: 0x105f7 gasCost: 3
op: JUMPI gas: 0x105f4 gasCost: 10
op: PUSH1 gas: 0x105ea gasCost: 3
op: CALLDATALOAD gas: 0x105e7 gasCost: 3
op: PUSH1 gas: 0x105e4 gasCost: 3
op: SHR gas: 0x105e1 gasCost: 3
op: DUP1 gas: 0x105de gasCost: 3
op: PUSH4 gas: 0x105db gasCost: 3
op: GT gas: 0x105d8 gasCost: 3
op: PUSH2 gas: 0x105d5 gasCost: 3
op: JUMPI gas: 0x105d2 gasCost: 10
op: JUMPDEST gas: 0x105c8 gasCost: 1
op: DUP1 gas: 0x105c7 gasCost: 3
op: PUSH4 gas: 0x105c4 gasCost: 3
op: EQ gas: 0x105c1 gasCost: 3
op: PUSH2 gas: 0x105be gasCost: 3
op: JUMPI gas: 0x105bb gasCost: 10
op: DUP1 gas: 0x105b1 gasCost: 3
op: PUSH4 gas: 0x105ae gasCost: 3
op: EQ gas: 0x105ab gasCost: 3
op: PUSH2 gas: 0x105a8 gasCost: 3
op: JUMPI gas: 0x105a5 gasCost: 10
op: DUP1 gas: 0x1059b gasCost: 3
op: PUSH4 gas: 0x10598 gasCost: 3
op: EQ gas: 0x10595 gasCost: 3
op: PUSH2 gas: 0x10592 gasCost: 3
op: JUMPI gas: 0x1058f gasCost: 10
op: DUP1 gas: 0x10585 gasCost: 3
op: PUSH4 gas: 0x10582 gasCost: 3
op: EQ gas: 0x1057f gasCost: 3
op: PUSH2 gas: 0x1057c gasCost: 3
op: JUMPI gas: 0x10579 gasCost: 10
op: JUMPDEST gas: 0x1056f gasCost: 1
op: PUSH2 gas: 0x1056e gasCost: 3
op: PUSH1 gas: 0x1056b gasCost: 3
op: DUP1 gas: 0x10568 gasCost: 3
op: CALLDATASIZE gas: 0x10565 gasCost: 2
op: SUB gas: 0x10563 gasCost: 3
op: DUP2 gas: 0x10560 gasCost: 3
op: ADD gas: 0x1055d gasCost: 3
op: SWAP1 gas: 0x1055a gasCost: 3
op: PUSH2 gas: 0x10557 gasCost: 3
op: SWAP2 gas: 0x10554 gasCost: 3
op: SWAP1 gas: 0x10551 gasCost: 3
op: PUSH2 gas: 0x1054e gasCost: 3
op: JUMP gas: 0x1054b gasCost: 8
op: JUMPDEST gas: 0x10543 gasCost: 1
op: PUSH1 gas: 0x10542 gasCost: 3
op: DUP1 gas: 0x1053f gasCost: 3
op: PUSH1 gas: 0x1053c gasCost: 3
op: DUP4 gas: 0x10539 gasCost: 3
op: DUP6 gas: 0x10536 gasCost: 3
op: SUB gas: 0x10533 gasCost: 3
op: SLT gas: 0x10530 gasCost: 3
op: ISZERO gas: 0x1052d gasCost: 3
op: PUSH2 gas: 0x1052a gasCost: 3
op: JUMPI gas: 0x10527 gasCost: 10
op: JUMPDEST gas: 0x1051d gasCost: 1
op: PUSH1 gas: 0x1051c gasCost: 3
op: PUSH2 gas: 0x10519 gasCost: 3
op: DUP6 gas: 0x10516 gasCost: 3
op: DUP3 gas: 0x10513 gasCost: 3
op: DUP7 gas: 0x10510 gasCost: 3
op: ADD gas: 0x1050d gasCost: 3
op: PUSH2 gas: 0x1050a gasCost: 3
op: JUMP gas: 0x10507 gasCost: 8
op: JUMPDEST gas: 0x104ff gasCost: 1
op: PUSH1 gas: 0x104fe gasCost: 3
op: DUP2 gas: 0x104fb gasCost: 3
op: CALLDATALOAD gas: 0x104f8 gasCost: 3
op: SWAP1 gas: 0x104f5 gasCost: 3
op: POP gas: 0x104f2 gasCost: 2
op: PUSH2 gas: 0x104f0 gasCost: 3
op: DUP2 gas: 0x104ed gasCost: 3
op: PUSH2 gas: 0x104ea gasCost: 3
op: JUMP gas: 0x104e7 gasCost: 8
op: JUMPDEST gas: 0x104df gasCost: 1
op: PUSH2 gas: 0x104de gasCost: 3
op: DUP2 gas: 0x104db gasCost: 3
op: PUSH2 gas: 0x104d8 gasCost: 3
op: JUMP gas: 0x104d5 gasCost: 8
op: JUMPDEST gas: 0x104cd gasCost: 1
op: PUSH1 gas: 0x104cc gasCost: 3
op: PUSH2 gas: 0x104c9 gasCost: 3
op: DUP3 gas: 0x104c6 gasCost: 3
op: PUSH2 gas: 0x104c3 gasCost: 3
op: JUMP gas: 0x104c0 gasCost: 8
op: JUMPDEST gas: 0x104b8 gasCost: 1
op: PUSH1 gas: 0x104b7 gasCost: 3
op: PUSH20 gas: 0x104b4 gasCost: 3
op: DUP3 gas: 0x104b1 gasCost: 3
op: AND gas: 0x104ae gasCost: 3
op: SWAP1 gas: 0x104ab gasCost: 3
op: POP gas: 0x104a8 gasCost: 2
op: SWAP2 gas: 0x104a6 gasCost: 3
op: SWAP1 gas: 0x104a3 gasCost: 3
op: POP gas: 0x104a0 gasCost: 2
op: JUMP gas: 0x1049e gasCost: 8
op: JUMPDEST gas: 0x10496 gasCost: 1
op: SWAP1 gas: 0x10495 gasCost: 3
op: POP gas: 0x10492 gasCost: 2
op: SWAP2 gas: 0x10490 gasCost: 3
op: SWAP1 gas: 0x1048d gasCost: 3
op: POP gas: 0x1048a gasCost: 2
op: JUMP gas: 0x10488 gasCost: 8
op: JUMPDEST gas: 0x10480 gasCost: 1
op: DUP2 gas: 0x1047f gasCost: 3
op: EQ gas: 0x1047c gasCost: 3
op: PUSH2 gas: 0x10479 gasCost: 3
op: JUMPI gas: 0x10476 gasCost: 10
op: JUMPDEST gas: 0x1046c gasCost: 1
op: POP gas: 0x1046b gasCost: 2
op: JUMP gas: 0x10469 gasCost: 8
op: JUMPDEST gas: 0x10461 gasCost: 1
op: SWAP3 gas: 0x10460 gasCost: 3
op: SWAP2 gas: 0x1045d gasCost: 3
op: POP gas: 0x1045a gasCost: 2
op: POP gas: 0x10458 gasCost: 2
op: JUMP gas: 0x10456 gasCost: 8
op: JUMPDEST gas: 0x1044e gasCost: 1
op: SWAP3 gas: 0x1044d gasCost: 3
op: POP gas: 0x1044a gasCost: 2
op: POP gas: 0x10448 gasCost: 2
op: PUSH1 gas: 0x10446 gasCost: 3
op: PUSH2 gas: 0x10443 gasCost: 3
