------------- opcode for test0 --------------
op: PUSH1 gas: 0xb710 gasCost: 3
op: PUSH1 gas: 0xb70d gasCost: 3
op: MSTORE gas: 0xb70a gasCost: 12
op: CALLVALUE gas: 0xb6fe gasCost: 2
op: DUP1 gas: 0xb6fc gasCost: 3
op: ISZERO gas: 0xb6f9 gasCost: 3
op: PUSH2 gas: 0xb6f6 gasCost: 3
op: JUMPI gas: 0xb6f3 gasCost: 10
op: JUMPDEST gas: 0xb6e9 gasCost: 1
op: POP gas: 0xb6e8 gasCost: 2
op: PUSH1 gas: 0xb6e6 gasCost: 3
op: CALLDATASIZE gas: 0xb6e3 gasCost: 2
op: LT gas: 0xb6e1 gasCost: 3
op: PUSH2 gas: 0xb6de gasCost: 3
op: JUMPI gas: 0xb6db gasCost: 10
op: PUSH1 gas: 0xb6d1 gasCost: 3
op: CALLDATALOAD gas: 0xb6ce gasCost: 3
op: PUSH1 gas: 0xb6cb gasCost: 3
op: SHR gas: 0xb6c8 gasCost: 3
op: DUP1 gas: 0xb6c5 gasCost: 3
op: PUSH4 gas: 0xb6c2 gasCost: 3
op: GT gas: 0xb6bf gasCost: 3
op: PUSH2 gas: 0xb6bc gasCost: 3
op: JUMPI gas: 0xb6b9 gasCost: 10
op: DUP1 gas: 0xb6af gasCost: 3
op: PUSH4 gas: 0xb6ac gasCost: 3
op: EQ gas: 0xb6a9 gasCost: 3
op: PUSH2 gas: 0xb6a6 gasCost: 3
op: JUMPI gas: 0xb6a3 gasCost: 10
op: DUP1 gas: 0xb699 gasCost: 3
op: PUSH4 gas: 0xb696 gasCost: 3
op: EQ gas: 0xb693 gasCost: 3
op: PUSH2 gas: 0xb690 gasCost: 3
op: JUMPI gas: 0xb68d gasCost: 10
op: DUP1 gas: 0xb683 gasCost: 3
op: PUSH4 gas: 0xb680 gasCost: 3
op: EQ gas: 0xb67d gasCost: 3
op: PUSH2 gas: 0xb67a gasCost: 3
op: JUMPI gas: 0xb677 gasCost: 10
op: JUMPDEST gas: 0xb66d gasCost: 1
op: PUSH2 gas: 0xb66c gasCost: 3
op: PUSH1 gas: 0xb669 gasCost: 3
op: DUP1 gas: 0xb666 gasCost: 3
op: CALLDATASIZE gas: 0xb663 gasCost: 2
op: SUB gas: 0xb661 gasCost: 3
op: DUP2 gas: 0xb65e gasCost: 3
op: ADD gas: 0xb65b gasCost: 3
op: SWAP1 gas: 0xb658 gasCost: 3
op: PUSH2 gas: 0xb655 gasCost: 3
op: SWAP2 gas: 0xb652 gasCost: 3
op: SWAP1 gas: 0xb64f gasCost: 3
op: PUSH2 gas: 0xb64c gasCost: 3
op: JUMP gas: 0xb649 gasCost: 8
op: JUMPDEST gas: 0xb641 gasCost: 1
op: PUSH1 gas: 0xb640 gasCost: 3
op: DUP1 gas: 0xb63d gasCost: 3
op: PUSH1 gas: 0xb63a gasCost: 3
op: DUP4 gas: 0xb637 gasCost: 3
op: DUP6 gas: 0xb634 gasCost: 3
op: SUB gas: 0xb631 gasCost: 3
op: SLT gas: 0xb62e gasCost: 3
op: ISZERO gas: 0xb62b gasCost: 3
op: PUSH2 gas: 0xb628 gasCost: 3
op: JUMPI gas: 0xb625 gasCost: 10
op: JUMPDEST gas: 0xb61b gasCost: 1
op: PUSH1 gas: 0xb61a gasCost: 3
op: PUSH2 gas: 0xb617 gasCost: 3
op: DUP6 gas: 0xb614 gasCost: 3
op: DUP3 gas: 0xb611 gasCost: 3
op: DUP7 gas: 0xb60e gasCost: 3
op: ADD gas: 0xb60b gasCost: 3
op: PUSH2 gas: 0xb608 gasCost: 3
op: JUMP gas: 0xb605 gasCost: 8
