------------- opcode for test0 --------------
op: PUSH1 gas: 0xeb30 gasCost: 3
op: PUSH1 gas: 0xeb2d gasCost: 3
op: MSTORE gas: 0xeb2a gasCost: 12
op: CALLVALUE gas: 0xeb1e gasCost: 2
op: DUP1 gas: 0xeb1c gasCost: 3
op: ISZERO gas: 0xeb19 gasCost: 3
op: PUSH2 gas: 0xeb16 gasCost: 3
op: JUMPI gas: 0xeb13 gasCost: 10
op: JUMPDEST gas: 0xeb09 gasCost: 1
op: POP gas: 0xeb08 gasCost: 2
op: PUSH1 gas: 0xeb06 gasCost: 3
op: CALLDATASIZE gas: 0xeb03 gasCost: 2
op: LT gas: 0xeb01 gasCost: 3
op: PUSH2 gas: 0xeafe gasCost: 3
op: JUMPI gas: 0xeafb gasCost: 10
op: PUSH1 gas: 0xeaf1 gasCost: 3
op: CALLDATALOAD gas: 0xeaee gasCost: 3
op: PUSH1 gas: 0xeaeb gasCost: 3
op: SHR gas: 0xeae8 gasCost: 3
op: DUP1 gas: 0xeae5 gasCost: 3
op: PUSH4 gas: 0xeae2 gasCost: 3
op: GT gas: 0xeadf gasCost: 3
op: PUSH2 gas: 0xeadc gasCost: 3
op: JUMPI gas: 0xead9 gasCost: 10
op: JUMPDEST gas: 0xeacf gasCost: 1
op: DUP1 gas: 0xeace gasCost: 3
op: PUSH4 gas: 0xeacb gasCost: 3
op: EQ gas: 0xeac8 gasCost: 3
op: PUSH2 gas: 0xeac5 gasCost: 3
op: JUMPI gas: 0xeac2 gasCost: 10
op: DUP1 gas: 0xeab8 gasCost: 3
op: PUSH4 gas: 0xeab5 gasCost: 3
op: EQ gas: 0xeab2 gasCost: 3
op: PUSH2 gas: 0xeaaf gasCost: 3
op: JUMPI gas: 0xeaac gasCost: 10
op: DUP1 gas: 0xeaa2 gasCost: 3
op: PUSH4 gas: 0xea9f gasCost: 3
op: EQ gas: 0xea9c gasCost: 3
op: PUSH2 gas: 0xea99 gasCost: 3
op: JUMPI gas: 0xea96 gasCost: 10
op: JUMPDEST gas: 0xea8c gasCost: 1
op: PUSH2 gas: 0xea8b gasCost: 3
op: PUSH1 gas: 0xea88 gasCost: 3
op: DUP1 gas: 0xea85 gasCost: 3
op: CALLDATASIZE gas: 0xea82 gasCost: 2
op: SUB gas: 0xea80 gasCost: 3
op: DUP2 gas: 0xea7d gasCost: 3
op: ADD gas: 0xea7a gasCost: 3
op: SWAP1 gas: 0xea77 gasCost: 3
op: PUSH2 gas: 0xea74 gasCost: 3
op: SWAP2 gas: 0xea71 gasCost: 3
op: SWAP1 gas: 0xea6e gasCost: 3
op: PUSH2 gas: 0xea6b gasCost: 3
op: JUMP gas: 0xea68 gasCost: 8
op: JUMPDEST gas: 0xea60 gasCost: 1
op: PUSH1 gas: 0xea5f gasCost: 3
op: DUP1 gas: 0xea5c gasCost: 3
op: PUSH1 gas: 0xea59 gasCost: 3
op: PUSH1 gas: 0xea56 gasCost: 3
op: DUP5 gas: 0xea53 gasCost: 3
op: DUP7 gas: 0xea50 gasCost: 3
op: SUB gas: 0xea4d gasCost: 3
op: SLT gas: 0xea4a gasCost: 3
op: ISZERO gas: 0xea47 gasCost: 3
op: PUSH2 gas: 0xea44 gasCost: 3
op: JUMPI gas: 0xea41 gasCost: 10
op: JUMPDEST gas: 0xea37 gasCost: 1
