------------- opcode for test0 --------------
op: PUSH1 gas: 0x9fd8 gasCost: 3
op: PUSH1 gas: 0x9fd5 gasCost: 3
op: MSTORE gas: 0x9fd2 gasCost: 12
op: CALLVALUE gas: 0x9fc6 gasCost: 2
op: DUP1 gas: 0x9fc4 gasCost: 3
op: ISZERO gas: 0x9fc1 gasCost: 3
op: PUSH2 gas: 0x9fbe gasCost: 3
op: JUMPI gas: 0x9fbb gasCost: 10
op: JUMPDEST gas: 0x9fb1 gasCost: 1
op: POP gas: 0x9fb0 gasCost: 2
op: PUSH1 gas: 0x9fae gasCost: 3
op: CALLDATASIZE gas: 0x9fab gasCost: 2
op: LT gas: 0x9fa9 gasCost: 3
op: PUSH2 gas: 0x9fa6 gasCost: 3
op: JUMPI gas: 0x9fa3 gasCost: 10
op: PUSH1 gas: 0x9f99 gasCost: 3
op: CALLDATALOAD gas: 0x9f96 gasCost: 3
op: PUSH1 gas: 0x9f93 gasCost: 3
op: SHR gas: 0x9f90 gasCost: 3
op: DUP1 gas: 0x9f8d gasCost: 3
op: PUSH4 gas: 0x9f8a gasCost: 3
op: GT gas: 0x9f87 gasCost: 3
op: PUSH2 gas: 0x9f84 gasCost: 3
op: JUMPI gas: 0x9f81 gasCost: 10
op: JUMPDEST gas: 0x9f77 gasCost: 1
op: DUP1 gas: 0x9f76 gasCost: 3
op: PUSH4 gas: 0x9f73 gasCost: 3
op: EQ gas: 0x9f70 gasCost: 3
op: PUSH2 gas: 0x9f6d gasCost: 3
op: JUMPI gas: 0x9f6a gasCost: 10
op: JUMPDEST gas: 0x9f60 gasCost: 1
op: PUSH2 gas: 0x9f5f gasCost: 3
op: PUSH1 gas: 0x9f5c gasCost: 3
op: DUP1 gas: 0x9f59 gasCost: 3
op: CALLDATASIZE gas: 0x9f56 gasCost: 2
op: SUB gas: 0x9f54 gasCost: 3
op: DUP2 gas: 0x9f51 gasCost: 3
op: ADD gas: 0x9f4e gasCost: 3
op: SWAP1 gas: 0x9f4b gasCost: 3
op: PUSH2 gas: 0x9f48 gasCost: 3
op: SWAP2 gas: 0x9f45 gasCost: 3
op: SWAP1 gas: 0x9f42 gasCost: 3
op: PUSH2 gas: 0x9f3f gasCost: 3
op: JUMP gas: 0x9f3c gasCost: 8
op: JUMPDEST gas: 0x9f34 gasCost: 1
op: PUSH1 gas: 0x9f33 gasCost: 3
op: DUP1 gas: 0x9f30 gasCost: 3
op: PUSH1 gas: 0x9f2d gasCost: 3
op: DUP4 gas: 0x9f2a gasCost: 3
op: DUP6 gas: 0x9f27 gasCost: 3
op: SUB gas: 0x9f24 gasCost: 3
op: SLT gas: 0x9f21 gasCost: 3
op: ISZERO gas: 0x9f1e gasCost: 3
op: PUSH2 gas: 0x9f1b gasCost: 3
op: JUMPI gas: 0x9f18 gasCost: 10
op: JUMPDEST gas: 0x9f0e gasCost: 1
op: PUSH1 gas: 0x9f0d gasCost: 3
op: PUSH2 gas: 0x9f0a gasCost: 3
op: DUP6 gas: 0x9f07 gasCost: 3
op: DUP3 gas: 0x9f04 gasCost: 3
op: DUP7 gas: 0x9f01 gasCost: 3
op: ADD gas: 0x9efe gasCost: 3
op: PUSH2 gas: 0x9efb gasCost: 3
op: JUMP gas: 0x9ef8 gasCost: 8
op: JUMPDEST gas: 0x9ef0 gasCost: 1
op: PUSH1 gas: 0x9eef gasCost: 3
op: DUP2 gas: 0x9eec gasCost: 3
op: CALLDATALOAD gas: 0x9ee9 gasCost: 3
op: SWAP1 gas: 0x9ee6 gasCost: 3
op: POP gas: 0x9ee3 gasCost: 2
op: PUSH2 gas: 0x9ee1 gasCost: 3
op: DUP2 gas: 0x9ede gasCost: 3
op: PUSH2 gas: 0x9edb gasCost: 3
op: JUMP gas: 0x9ed8 gasCost: 8
op: JUMPDEST gas: 0x9ed0 gasCost: 1
op: PUSH2 gas: 0x9ecf gasCost: 3
op: DUP2 gas: 0x9ecc gasCost: 3
op: PUSH2 gas: 0x9ec9 gasCost: 3
op: JUMP gas: 0x9ec6 gasCost: 8
op: JUMPDEST gas: 0x9ebe gasCost: 1
op: PUSH1 gas: 0x9ebd gasCost: 3
op: PUSH2 gas: 0x9eba gasCost: 3
op: DUP3 gas: 0x9eb7 gasCost: 3
op: PUSH2 gas: 0x9eb4 gasCost: 3
op: JUMP gas: 0x9eb1 gasCost: 8
op: JUMPDEST gas: 0x9ea9 gasCost: 1
op: PUSH1 gas: 0x9ea8 gasCost: 3
op: PUSH20 gas: 0x9ea5 gasCost: 3
op: DUP3 gas: 0x9ea2 gasCost: 3
op: AND gas: 0x9e9f gasCost: 3
op: SWAP1 gas: 0x9e9c gasCost: 3
op: POP gas: 0x9e99 gasCost: 2
op: SWAP2 gas: 0x9e97 gasCost: 3
op: SWAP1 gas: 0x9e94 gasCost: 3
op: POP gas: 0x9e91 gasCost: 2
op: JUMP gas: 0x9e8f gasCost: 8
op: JUMPDEST gas: 0x9e87 gasCost: 1
op: SWAP1 gas: 0x9e86 gasCost: 3
op: POP gas: 0x9e83 gasCost: 2
op: SWAP2 gas: 0x9e81 gasCost: 3
op: SWAP1 gas: 0x9e7e gasCost: 3
op: POP gas: 0x9e7b gasCost: 2
op: JUMP gas: 0x9e79 gasCost: 8
op: JUMPDEST gas: 0x9e71 gasCost: 1
op: DUP2 gas: 0x9e70 gasCost: 3
op: EQ gas: 0x9e6d gasCost: 3
op: PUSH2 gas: 0x9e6a gasCost: 3
op: JUMPI gas: 0x9e67 gasCost: 10
op: JUMPDEST gas: 0x9e5d gasCost: 1
op: POP gas: 0x9e5c gasCost: 2
op: JUMP gas: 0x9e5a gasCost: 8
op: JUMPDEST gas: 0x9e52 gasCost: 1
op: SWAP3 gas: 0x9e51 gasCost: 3
op: SWAP2 gas: 0x9e4e gasCost: 3
op: POP gas: 0x9e4b gasCost: 2
op: POP gas: 0x9e49 gasCost: 2
op: JUMP gas: 0x9e47 gasCost: 8
op: JUMPDEST gas: 0x9e3f gasCost: 1
op: SWAP3 gas: 0x9e3e gasCost: 3
op: POP gas: 0x9e3b gasCost: 2
op: POP gas: 0x9e39 gasCost: 2
op: PUSH1 gas: 0x9e37 gasCost: 3
