------------- opcode for test0 --------------
op: PUSH1 gas: 0x6f21 gasCost: 3
op: PUSH1 gas: 0x6f1e gasCost: 3
op: MSTORE gas: 0x6f1b gasCost: 12
op: CALLVALUE gas: 0x6f0f gasCost: 2
op: DUP1 gas: 0x6f0d gasCost: 3
op: ISZERO gas: 0x6f0a gasCost: 3
op: PUSH2 gas: 0x6f07 gasCost: 3
op: JUMPI gas: 0x6f04 gasCost: 10
op: JUMPDEST gas: 0x6efa gasCost: 1
op: POP gas: 0x6ef9 gasCost: 2
op: PUSH1 gas: 0x6ef7 gasCost: 3
op: CALLDATASIZE gas: 0x6ef4 gasCost: 2
op: LT gas: 0x6ef2 gasCost: 3
op: PUSH2 gas: 0x6eef gasCost: 3
op: JUMPI gas: 0x6eec gasCost: 10
op: PUSH1 gas: 0x6ee2 gasCost: 3
op: CALLDATALOAD gas: 0x6edf gasCost: 3
op: PUSH1 gas: 0x6edc gasCost: 3
op: SHR gas: 0x6ed9 gasCost: 3
op: DUP1 gas: 0x6ed6 gasCost: 3
op: PUSH4 gas: 0x6ed3 gasCost: 3
op: GT gas: 0x6ed0 gasCost: 3
op: PUSH2 gas: 0x6ecd gasCost: 3
op: JUMPI gas: 0x6eca gasCost: 10
op: DUP1 gas: 0x6ec0 gasCost: 3
op: PUSH4 gas: 0x6ebd gasCost: 3
op: EQ gas: 0x6eba gasCost: 3
op: PUSH2 gas: 0x6eb7 gasCost: 3
op: JUMPI gas: 0x6eb4 gasCost: 10
op: DUP1 gas: 0x6eaa gasCost: 3
op: PUSH4 gas: 0x6ea7 gasCost: 3
op: EQ gas: 0x6ea4 gasCost: 3
op: PUSH2 gas: 0x6ea1 gasCost: 3
op: JUMPI gas: 0x6e9e gasCost: 10
op: JUMPDEST gas: 0x6e94 gasCost: 1
op: PUSH2 gas: 0x6e93 gasCost: 3
op: PUSH1 gas: 0x6e90 gasCost: 3
op: DUP1 gas: 0x6e8d gasCost: 3
op: CALLDATASIZE gas: 0x6e8a gasCost: 2
op: SUB gas: 0x6e88 gasCost: 3
op: DUP2 gas: 0x6e85 gasCost: 3
op: ADD gas: 0x6e82 gasCost: 3
op: SWAP1 gas: 0x6e7f gasCost: 3
op: PUSH2 gas: 0x6e7c gasCost: 3
op: SWAP2 gas: 0x6e79 gasCost: 3
op: SWAP1 gas: 0x6e76 gasCost: 3
op: PUSH2 gas: 0x6e73 gasCost: 3
op: JUMP gas: 0x6e70 gasCost: 8
op: JUMPDEST gas: 0x6e68 gasCost: 1
op: PUSH1 gas: 0x6e67 gasCost: 3
op: DUP1 gas: 0x6e64 gasCost: 3
op: PUSH1 gas: 0x6e61 gasCost: 3
op: DUP4 gas: 0x6e5e gasCost: 3
op: DUP6 gas: 0x6e5b gasCost: 3
op: SUB gas: 0x6e58 gasCost: 3
op: SLT gas: 0x6e55 gasCost: 3
op: ISZERO gas: 0x6e52 gasCost: 3
op: PUSH2 gas: 0x6e4f gasCost: 3
op: JUMPI gas: 0x6e4c gasCost: 10
op: JUMPDEST gas: 0x6e42 gasCost: 1
op: PUSH1 gas: 0x6e41 gasCost: 3
op: PUSH2 gas: 0x6e3e gasCost: 3
op: DUP6 gas: 0x6e3b gasCost: 3
op: DUP3 gas: 0x6e38 gasCost: 3
op: DUP7 gas: 0x6e35 gasCost: 3
op: ADD gas: 0x6e32 gasCost: 3
op: PUSH2 gas: 0x6e2f gasCost: 3
op: JUMP gas: 0x6e2c gasCost: 8
op: JUMPDEST gas: 0x6e24 gasCost: 1
op: PUSH1 gas: 0x6e23 gasCost: 3
op: DUP2 gas: 0x6e20 gasCost: 3
op: CALLDATALOAD gas: 0x6e1d gasCost: 3
op: SWAP1 gas: 0x6e1a gasCost: 3
op: POP gas: 0x6e17 gasCost: 2
op: PUSH2 gas: 0x6e15 gasCost: 3
op: DUP2 gas: 0x6e12 gasCost: 3
op: PUSH2 gas: 0x6e0f gasCost: 3
op: JUMP gas: 0x6e0c gasCost: 8
op: JUMPDEST gas: 0x6e04 gasCost: 1
op: PUSH2 gas: 0x6e03 gasCost: 3
op: DUP2 gas: 0x6e00 gasCost: 3
op: PUSH2 gas: 0x6dfd gasCost: 3
op: JUMP gas: 0x6dfa gasCost: 8
op: JUMPDEST gas: 0x6df2 gasCost: 1
op: PUSH1 gas: 0x6df1 gasCost: 3
op: PUSH2 gas: 0x6dee gasCost: 3
op: DUP3 gas: 0x6deb gasCost: 3
op: PUSH2 gas: 0x6de8 gasCost: 3
op: JUMP gas: 0x6de5 gasCost: 8
op: JUMPDEST gas: 0x6ddd gasCost: 1
op: PUSH1 gas: 0x6ddc gasCost: 3
op: PUSH20 gas: 0x6dd9 gasCost: 3
op: DUP3 gas: 0x6dd6 gasCost: 3
op: AND gas: 0x6dd3 gasCost: 3
op: SWAP1 gas: 0x6dd0 gasCost: 3
op: POP gas: 0x6dcd gasCost: 2
op: SWAP2 gas: 0x6dcb gasCost: 3
op: SWAP1 gas: 0x6dc8 gasCost: 3
op: POP gas: 0x6dc5 gasCost: 2
op: JUMP gas: 0x6dc3 gasCost: 8
op: JUMPDEST gas: 0x6dbb gasCost: 1
op: SWAP1 gas: 0x6dba gasCost: 3
op: POP gas: 0x6db7 gasCost: 2
op: SWAP2 gas: 0x6db5 gasCost: 3
op: SWAP1 gas: 0x6db2 gasCost: 3
op: POP gas: 0x6daf gasCost: 2
op: JUMP gas: 0x6dad gasCost: 8
op: JUMPDEST gas: 0x6da5 gasCost: 1
op: DUP2 gas: 0x6da4 gasCost: 3
