------------- opcode for test0 --------------
op: PUSH1 gas: 0xba21 gasCost: 3
op: PUSH1 gas: 0xba1e gasCost: 3
op: MSTORE gas: 0xba1b gasCost: 12
op: CALLVALUE gas: 0xba0f gasCost: 2
op: DUP1 gas: 0xba0d gasCost: 3
op: ISZERO gas: 0xba0a gasCost: 3
op: PUSH2 gas: 0xba07 gasCost: 3
op: JUMPI gas: 0xba04 gasCost: 10
op: JUMPDEST gas: 0xb9fa gasCost: 1
op: POP gas: 0xb9f9 gasCost: 2
op: PUSH1 gas: 0xb9f7 gasCost: 3
op: CALLDATASIZE gas: 0xb9f4 gasCost: 2
op: LT gas: 0xb9f2 gasCost: 3
op: PUSH2 gas: 0xb9ef gasCost: 3
op: JUMPI gas: 0xb9ec gasCost: 10
op: PUSH1 gas: 0xb9e2 gasCost: 3
op: CALLDATALOAD gas: 0xb9df gasCost: 3
op: PUSH1 gas: 0xb9dc gasCost: 3
op: SHR gas: 0xb9d9 gasCost: 3
op: DUP1 gas: 0xb9d6 gasCost: 3
op: PUSH4 gas: 0xb9d3 gasCost: 3
op: GT gas: 0xb9d0 gasCost: 3
op: PUSH2 gas: 0xb9cd gasCost: 3
op: JUMPI gas: 0xb9ca gasCost: 10
op: DUP1 gas: 0xb9c0 gasCost: 3
op: PUSH4 gas: 0xb9bd gasCost: 3
op: EQ gas: 0xb9ba gasCost: 3
op: PUSH2 gas: 0xb9b7 gasCost: 3
op: JUMPI gas: 0xb9b4 gasCost: 10
op: DUP1 gas: 0xb9aa gasCost: 3
op: PUSH4 gas: 0xb9a7 gasCost: 3
op: EQ gas: 0xb9a4 gasCost: 3
op: PUSH2 gas: 0xb9a1 gasCost: 3
op: JUMPI gas: 0xb99e gasCost: 10
op: DUP1 gas: 0xb994 gasCost: 3
op: PUSH4 gas: 0xb991 gasCost: 3
op: EQ gas: 0xb98e gasCost: 3
op: PUSH2 gas: 0xb98b gasCost: 3
op: JUMPI gas: 0xb988 gasCost: 10
op: JUMPDEST gas: 0xb97e gasCost: 1
op: PUSH2 gas: 0xb97d gasCost: 3
op: PUSH1 gas: 0xb97a gasCost: 3
op: DUP1 gas: 0xb977 gasCost: 3
op: CALLDATASIZE gas: 0xb974 gasCost: 2
op: SUB gas: 0xb972 gasCost: 3
op: DUP2 gas: 0xb96f gasCost: 3
op: ADD gas: 0xb96c gasCost: 3
op: SWAP1 gas: 0xb969 gasCost: 3
