------------- opcode for test0 --------------
op: PUSH1 gas: 0x74ba gasCost: 3
op: PUSH1 gas: 0x74b7 gasCost: 3
op: MSTORE gas: 0x74b4 gasCost: 12
op: CALLVALUE gas: 0x74a8 gasCost: 2
op: DUP1 gas: 0x74a6 gasCost: 3
op: ISZERO gas: 0x74a3 gasCost: 3
op: PUSH2 gas: 0x74a0 gasCost: 3
op: JUMPI gas: 0x749d gasCost: 10
op: JUMPDEST gas: 0x7493 gasCost: 1
op: POP gas: 0x7492 gasCost: 2
op: PUSH1 gas: 0x7490 gasCost: 3
op: CALLDATASIZE gas: 0x748d gasCost: 2
op: LT gas: 0x748b gasCost: 3
op: PUSH2 gas: 0x7488 gasCost: 3
op: JUMPI gas: 0x7485 gasCost: 10
op: PUSH1 gas: 0x747b gasCost: 3
op: CALLDATALOAD gas: 0x7478 gasCost: 3
op: PUSH1 gas: 0x7475 gasCost: 3
op: SHR gas: 0x7472 gasCost: 3
op: DUP1 gas: 0x746f gasCost: 3
op: PUSH4 gas: 0x746c gasCost: 3
op: GT gas: 0x7469 gasCost: 3
op: PUSH2 gas: 0x7466 gasCost: 3
op: JUMPI gas: 0x7463 gasCost: 10
op: JUMPDEST gas: 0x7459 gasCost: 1
op: DUP1 gas: 0x7458 gasCost: 3
op: PUSH4 gas: 0x7455 gasCost: 3
op: EQ gas: 0x7452 gasCost: 3
op: PUSH2 gas: 0x744f gasCost: 3
op: JUMPI gas: 0x744c gasCost: 10
op: DUP1 gas: 0x7442 gasCost: 3
op: PUSH4 gas: 0x743f gasCost: 3
op: EQ gas: 0x743c gasCost: 3
op: PUSH2 gas: 0x7439 gasCost: 3
op: JUMPI gas: 0x7436 gasCost: 10
op: DUP1 gas: 0x742c gasCost: 3
op: PUSH4 gas: 0x7429 gasCost: 3
op: EQ gas: 0x7426 gasCost: 3
op: PUSH2 gas: 0x7423 gasCost: 3
op: JUMPI gas: 0x7420 gasCost: 10
op: JUMPDEST gas: 0x7416 gasCost: 1
op: PUSH2 gas: 0x7415 gasCost: 3
op: PUSH1 gas: 0x7412 gasCost: 3
op: DUP1 gas: 0x740f gasCost: 3
op: CALLDATASIZE gas: 0x740c gasCost: 2
op: SUB gas: 0x740a gasCost: 3
op: DUP2 gas: 0x7407 gasCost: 3
