------------- opcode for test0 --------------
op: PUSH1 gas: 0xa0c7 gasCost: 3
op: PUSH1 gas: 0xa0c4 gasCost: 3
op: MSTORE gas: 0xa0c1 gasCost: 12
op: CALLVALUE gas: 0xa0b5 gasCost: 2
op: DUP1 gas: 0xa0b3 gasCost: 3
op: ISZERO gas: 0xa0b0 gasCost: 3
op: PUSH2 gas: 0xa0ad gasCost: 3
op: JUMPI gas: 0xa0aa gasCost: 10
op: JUMPDEST gas: 0xa0a0 gasCost: 1
op: POP gas: 0xa09f gasCost: 2
op: PUSH1 gas: 0xa09d gasCost: 3
op: CALLDATASIZE gas: 0xa09a gasCost: 2
op: LT gas: 0xa098 gasCost: 3
op: PUSH2 gas: 0xa095 gasCost: 3
op: JUMPI gas: 0xa092 gasCost: 10
op: PUSH1 gas: 0xa088 gasCost: 3
op: CALLDATALOAD gas: 0xa085 gasCost: 3
op: PUSH1 gas: 0xa082 gasCost: 3
op: SHR gas: 0xa07f gasCost: 3
op: DUP1 gas: 0xa07c gasCost: 3
op: PUSH4 gas: 0xa079 gasCost: 3
op: GT gas: 0xa076 gasCost: 3
op: PUSH2 gas: 0xa073 gasCost: 3
op: JUMPI gas: 0xa070 gasCost: 10
op: JUMPDEST gas: 0xa066 gasCost: 1
op: DUP1 gas: 0xa065 gasCost: 3
op: PUSH4 gas: 0xa062 gasCost: 3
op: EQ gas: 0xa05f gasCost: 3
op: PUSH2 gas: 0xa05c gasCost: 3
op: JUMPI gas: 0xa059 gasCost: 10
op: JUMPDEST gas: 0xa04f gasCost: 1
op: PUSH2 gas: 0xa04e gasCost: 3
op: PUSH1 gas: 0xa04b gasCost: 3
op: DUP1 gas: 0xa048 gasCost: 3
op: CALLDATASIZE gas: 0xa045 gasCost: 2
op: SUB gas: 0xa043 gasCost: 3
op: DUP2 gas: 0xa040 gasCost: 3
op: ADD gas: 0xa03d gasCost: 3
op: SWAP1 gas: 0xa03a gasCost: 3
op: PUSH2 gas: 0xa037 gasCost: 3
op: SWAP2 gas: 0xa034 gasCost: 3
op: SWAP1 gas: 0xa031 gasCost: 3
op: PUSH2 gas: 0xa02e gasCost: 3
op: JUMP gas: 0xa02b gasCost: 8
op: JUMPDEST gas: 0xa023 gasCost: 1
op: PUSH1 gas: 0xa022 gasCost: 3
op: DUP1 gas: 0xa01f gasCost: 3
op: PUSH1 gas: 0xa01c gasCost: 3
op: DUP4 gas: 0xa019 gasCost: 3
