------------- opcode for test0 --------------
op: PUSH1 gas: 0x6f24 gasCost: 3
op: PUSH1 gas: 0x6f21 gasCost: 3
op: MSTORE gas: 0x6f1e gasCost: 12
op: CALLVALUE gas: 0x6f12 gasCost: 2
op: DUP1 gas: 0x6f10 gasCost: 3
op: ISZERO gas: 0x6f0d gasCost: 3
op: PUSH2 gas: 0x6f0a gasCost: 3
op: JUMPI gas: 0x6f07 gasCost: 10
op: JUMPDEST gas: 0x6efd gasCost: 1
op: POP gas: 0x6efc gasCost: 2
op: PUSH1 gas: 0x6efa gasCost: 3
op: CALLDATASIZE gas: 0x6ef7 gasCost: 2
op: LT gas: 0x6ef5 gasCost: 3
op: PUSH2 gas: 0x6ef2 gasCost: 3
op: JUMPI gas: 0x6eef gasCost: 10
op: PUSH1 gas: 0x6ee5 gasCost: 3
op: CALLDATALOAD gas: 0x6ee2 gasCost: 3
op: PUSH1 gas: 0x6edf gasCost: 3
op: SHR gas: 0x6edc gasCost: 3
op: DUP1 gas: 0x6ed9 gasCost: 3
op: PUSH4 gas: 0x6ed6 gasCost: 3
op: GT gas: 0x6ed3 gasCost: 3
op: PUSH2 gas: 0x6ed0 gasCost: 3
op: JUMPI gas: 0x6ecd gasCost: 10
op: DUP1 gas: 0x6ec3 gasCost: 3
op: PUSH4 gas: 0x6ec0 gasCost: 3
op: EQ gas: 0x6ebd gasCost: 3
op: PUSH2 gas: 0x6eba gasCost: 3
op: JUMPI gas: 0x6eb7 gasCost: 10
op: DUP1 gas: 0x6ead gasCost: 3
op: PUSH4 gas: 0x6eaa gasCost: 3
op: EQ gas: 0x6ea7 gasCost: 3
op: PUSH2 gas: 0x6ea4 gasCost: 3
op: JUMPI gas: 0x6ea1 gasCost: 10
op: JUMPDEST gas: 0x6e97 gasCost: 1
op: PUSH2 gas: 0x6e96 gasCost: 3
op: PUSH1 gas: 0x6e93 gasCost: 3
op: DUP1 gas: 0x6e90 gasCost: 3
op: CALLDATASIZE gas: 0x6e8d gasCost: 2
op: SUB gas: 0x6e8b gasCost: 3
op: DUP2 gas: 0x6e88 gasCost: 3
op: ADD gas: 0x6e85 gasCost: 3
op: SWAP1 gas: 0x6e82 gasCost: 3
op: PUSH2 gas: 0x6e7f gasCost: 3
op: SWAP2 gas: 0x6e7c gasCost: 3
op: SWAP1 gas: 0x6e79 gasCost: 3
op: PUSH2 gas: 0x6e76 gasCost: 3
op: JUMP gas: 0x6e73 gasCost: 8
op: JUMPDEST gas: 0x6e6b gasCost: 1
op: PUSH1 gas: 0x6e6a gasCost: 3
op: DUP1 gas: 0x6e67 gasCost: 3
op: PUSH1 gas: 0x6e64 gasCost: 3
op: DUP4 gas: 0x6e61 gasCost: 3
op: DUP6 gas: 0x6e5e gasCost: 3
op: SUB gas: 0x6e5b gasCost: 3
op: SLT gas: 0x6e58 gasCost: 3
op: ISZERO gas: 0x6e55 gasCost: 3
op: PUSH2 gas: 0x6e52 gasCost: 3
op: JUMPI gas: 0x6e4f gasCost: 10
