------------- opcode for test0 --------------
op: PUSH1 gas: 0x108ee gasCost: 3
op: PUSH1 gas: 0x108eb gasCost: 3
op: MSTORE gas: 0x108e8 gasCost: 12
op: CALLVALUE gas: 0x108dc gasCost: 2
op: DUP1 gas: 0x108da gasCost: 3
op: ISZERO gas: 0x108d7 gasCost: 3
op: PUSH2 gas: 0x108d4 gasCost: 3
op: JUMPI gas: 0x108d1 gasCost: 10
op: JUMPDEST gas: 0x108c7 gasCost: 1
op: POP gas: 0x108c6 gasCost: 2
op: PUSH1 gas: 0x108c4 gasCost: 3
op: CALLDATASIZE gas: 0x108c1 gasCost: 2
op: LT gas: 0x108bf gasCost: 3
op: PUSH2 gas: 0x108bc gasCost: 3
op: JUMPI gas: 0x108b9 gasCost: 10
op: PUSH1 gas: 0x108af gasCost: 3
op: CALLDATALOAD gas: 0x108ac gasCost: 3
op: PUSH1 gas: 0x108a9 gasCost: 3
op: SHR gas: 0x108a6 gasCost: 3
op: DUP1 gas: 0x108a3 gasCost: 3
op: PUSH4 gas: 0x108a0 gasCost: 3
op: GT gas: 0x1089d gasCost: 3
op: PUSH2 gas: 0x1089a gasCost: 3
op: JUMPI gas: 0x10897 gasCost: 10
op: JUMPDEST gas: 0x1088d gasCost: 1
op: DUP1 gas: 0x1088c gasCost: 3
op: PUSH4 gas: 0x10889 gasCost: 3
op: EQ gas: 0x10886 gasCost: 3
op: PUSH2 gas: 0x10883 gasCost: 3
op: JUMPI gas: 0x10880 gasCost: 10
op: DUP1 gas: 0x10876 gasCost: 3
op: PUSH4 gas: 0x10873 gasCost: 3
op: EQ gas: 0x10870 gasCost: 3
op: PUSH2 gas: 0x1086d gasCost: 3
op: JUMPI gas: 0x1086a gasCost: 10
op: DUP1 gas: 0x10860 gasCost: 3
op: PUSH4 gas: 0x1085d gasCost: 3
op: EQ gas: 0x1085a gasCost: 3
op: PUSH2 gas: 0x10857 gasCost: 3
op: JUMPI gas: 0x10854 gasCost: 10
op: DUP1 gas: 0x1084a gasCost: 3
op: PUSH4 gas: 0x10847 gasCost: 3
op: EQ gas: 0x10844 gasCost: 3
op: PUSH2 gas: 0x10841 gasCost: 3
op: JUMPI gas: 0x1083e gasCost: 10
op: JUMPDEST gas: 0x10834 gasCost: 1
op: PUSH2 gas: 0x10833 gasCost: 3
op: PUSH1 gas: 0x10830 gasCost: 3
op: DUP1 gas: 0x1082d gasCost: 3
op: CALLDATASIZE gas: 0x1082a gasCost: 2
op: SUB gas: 0x10828 gasCost: 3
op: DUP2 gas: 0x10825 gasCost: 3
op: ADD gas: 0x10822 gasCost: 3
op: SWAP1 gas: 0x1081f gasCost: 3
op: PUSH2 gas: 0x1081c gasCost: 3
op: SWAP2 gas: 0x10819 gasCost: 3
op: SWAP1 gas: 0x10816 gasCost: 3
op: PUSH2 gas: 0x10813 gasCost: 3
op: JUMP gas: 0x10810 gasCost: 8
op: JUMPDEST gas: 0x10808 gasCost: 1
op: PUSH1 gas: 0x10807 gasCost: 3
op: DUP1 gas: 0x10804 gasCost: 3
op: PUSH1 gas: 0x10801 gasCost: 3
op: DUP4 gas: 0x107fe gasCost: 3
op: DUP6 gas: 0x107fb gasCost: 3
op: SUB gas: 0x107f8 gasCost: 3
op: SLT gas: 0x107f5 gasCost: 3
op: ISZERO gas: 0x107f2 gasCost: 3
op: PUSH2 gas: 0x107ef gasCost: 3
op: JUMPI gas: 0x107ec gasCost: 10
op: JUMPDEST gas: 0x107e2 gasCost: 1
op: PUSH1 gas: 0x107e1 gasCost: 3
op: PUSH2 gas: 0x107de gasCost: 3
op: DUP6 gas: 0x107db gasCost: 3
op: DUP3 gas: 0x107d8 gasCost: 3
op: DUP7 gas: 0x107d5 gasCost: 3
op: ADD gas: 0x107d2 gasCost: 3
op: PUSH2 gas: 0x107cf gasCost: 3
op: JUMP gas: 0x107cc gasCost: 8
op: JUMPDEST gas: 0x107c4 gasCost: 1
op: PUSH1 gas: 0x107c3 gasCost: 3
op: DUP2 gas: 0x107c0 gasCost: 3
op: CALLDATALOAD gas: 0x107bd gasCost: 3
op: SWAP1 gas: 0x107ba gasCost: 3
op: POP gas: 0x107b7 gasCost: 2
op: PUSH2 gas: 0x107b5 gasCost: 3
op: DUP2 gas: 0x107b2 gasCost: 3
op: PUSH2 gas: 0x107af gasCost: 3
op: JUMP gas: 0x107ac gasCost: 8
op: JUMPDEST gas: 0x107a4 gasCost: 1
op: PUSH2 gas: 0x107a3 gasCost: 3
op: DUP2 gas: 0x107a0 gasCost: 3
op: PUSH2 gas: 0x1079d gasCost: 3
op: JUMP gas: 0x1079a gasCost: 8
op: JUMPDEST gas: 0x10792 gasCost: 1
op: PUSH1 gas: 0x10791 gasCost: 3
op: PUSH2 gas: 0x1078e gasCost: 3
op: DUP3 gas: 0x1078b gasCost: 3
op: PUSH2 gas: 0x10788 gasCost: 3
op: JUMP gas: 0x10785 gasCost: 8
op: JUMPDEST gas: 0x1077d gasCost: 1
op: PUSH1 gas: 0x1077c gasCost: 3
op: PUSH20 gas: 0x10779 gasCost: 3
op: DUP3 gas: 0x10776 gasCost: 3
op: AND gas: 0x10773 gasCost: 3
op: SWAP1 gas: 0x10770 gasCost: 3
op: POP gas: 0x1076d gasCost: 2
op: SWAP2 gas: 0x1076b gasCost: 3
op: SWAP1 gas: 0x10768 gasCost: 3
op: POP gas: 0x10765 gasCost: 2
op: JUMP gas: 0x10763 gasCost: 8
op: JUMPDEST gas: 0x1075b gasCost: 1
op: SWAP1 gas: 0x1075a gasCost: 3
op: POP gas: 0x10757 gasCost: 2
op: SWAP2 gas: 0x10755 gasCost: 3
op: SWAP1 gas: 0x10752 gasCost: 3
op: POP gas: 0x1074f gasCost: 2
op: JUMP gas: 0x1074d gasCost: 8
op: JUMPDEST gas: 0x10745 gasCost: 1
op: DUP2 gas: 0x10744 gasCost: 3
op: EQ gas: 0x10741 gasCost: 3
op: PUSH2 gas: 0x1073e gasCost: 3
op: JUMPI gas: 0x1073b gasCost: 10
op: JUMPDEST gas: 0x10731 gasCost: 1
op: POP gas: 0x10730 gasCost: 2
op: JUMP gas: 0x1072e gasCost: 8
op: JUMPDEST gas: 0x10726 gasCost: 1
op: SWAP3 gas: 0x10725 gasCost: 3
op: SWAP2 gas: 0x10722 gasCost: 3
op: POP gas: 0x1071f gasCost: 2
op: POP gas: 0x1071d gasCost: 2
op: JUMP gas: 0x1071b gasCost: 8
op: JUMPDEST gas: 0x10713 gasCost: 1
op: SWAP3 gas: 0x10712 gasCost: 3
op: POP gas: 0x1070f gasCost: 2
op: POP gas: 0x1070d gasCost: 2
op: PUSH1 gas: 0x1070b gasCost: 3
op: PUSH2 gas: 0x10708 gasCost: 3
op: DUP6 gas: 0x10705 gasCost: 3
op: DUP3 gas: 0x10702 gasCost: 3
op: DUP7 gas: 0x106ff gasCost: 3
op: ADD gas: 0x106fc gasCost: 3
op: PUSH2 gas: 0x106f9 gasCost: 3
op: JUMP gas: 0x106f6 gasCost: 8
op: JUMPDEST gas: 0x106ee gasCost: 1
op: PUSH1 gas: 0x106ed gasCost: 3
op: DUP2 gas: 0x106ea gasCost: 3
op: CALLDATALOAD gas: 0x106e7 gasCost: 3
op: SWAP1 gas: 0x106e4 gasCost: 3
op: POP gas: 0x106e1 gasCost: 2
op: PUSH2 gas: 0x106df gasCost: 3
op: DUP2 gas: 0x106dc gasCost: 3
op: PUSH2 gas: 0x106d9 gasCost: 3
op: JUMP gas: 0x106d6 gasCost: 8
op: JUMPDEST gas: 0x106ce gasCost: 1
op: PUSH2 gas: 0x106cd gasCost: 3
op: DUP2 gas: 0x106ca gasCost: 3
op: PUSH2 gas: 0x106c7 gasCost: 3
op: JUMP gas: 0x106c4 gasCost: 8
op: JUMPDEST gas: 0x106bc gasCost: 1
op: PUSH1 gas: 0x106bb gasCost: 3
op: DUP2 gas: 0x106b8 gasCost: 3
op: SWAP1 gas: 0x106b5 gasCost: 3
