------------- opcode for test0 --------------
op: PUSH1 gas: 0xbb07 gasCost: 3
op: PUSH1 gas: 0xbb04 gasCost: 3
op: MSTORE gas: 0xbb01 gasCost: 12
op: CALLVALUE gas: 0xbaf5 gasCost: 2
op: DUP1 gas: 0xbaf3 gasCost: 3
op: ISZERO gas: 0xbaf0 gasCost: 3
op: PUSH2 gas: 0xbaed gasCost: 3
op: JUMPI gas: 0xbaea gasCost: 10
op: JUMPDEST gas: 0xbae0 gasCost: 1
op: POP gas: 0xbadf gasCost: 2
op: PUSH1 gas: 0xbadd gasCost: 3
op: CALLDATASIZE gas: 0xbada gasCost: 2
op: LT gas: 0xbad8 gasCost: 3
op: PUSH2 gas: 0xbad5 gasCost: 3
op: JUMPI gas: 0xbad2 gasCost: 10
op: PUSH1 gas: 0xbac8 gasCost: 3
op: CALLDATALOAD gas: 0xbac5 gasCost: 3
op: PUSH1 gas: 0xbac2 gasCost: 3
op: SHR gas: 0xbabf gasCost: 3
op: DUP1 gas: 0xbabc gasCost: 3
op: PUSH4 gas: 0xbab9 gasCost: 3
op: GT gas: 0xbab6 gasCost: 3
op: PUSH2 gas: 0xbab3 gasCost: 3
op: JUMPI gas: 0xbab0 gasCost: 10
op: DUP1 gas: 0xbaa6 gasCost: 3
op: PUSH4 gas: 0xbaa3 gasCost: 3
op: EQ gas: 0xbaa0 gasCost: 3
op: PUSH2 gas: 0xba9d gasCost: 3
op: JUMPI gas: 0xba9a gasCost: 10
op: DUP1 gas: 0xba90 gasCost: 3
op: PUSH4 gas: 0xba8d gasCost: 3
op: EQ gas: 0xba8a gasCost: 3
op: PUSH2 gas: 0xba87 gasCost: 3
op: JUMPI gas: 0xba84 gasCost: 10
op: DUP1 gas: 0xba7a gasCost: 3
op: PUSH4 gas: 0xba77 gasCost: 3
op: EQ gas: 0xba74 gasCost: 3
op: PUSH2 gas: 0xba71 gasCost: 3
op: JUMPI gas: 0xba6e gasCost: 10
op: JUMPDEST gas: 0xba64 gasCost: 1
op: PUSH2 gas: 0xba63 gasCost: 3
op: PUSH1 gas: 0xba60 gasCost: 3
op: DUP1 gas: 0xba5d gasCost: 3
op: CALLDATASIZE gas: 0xba5a gasCost: 2
op: SUB gas: 0xba58 gasCost: 3
op: DUP2 gas: 0xba55 gasCost: 3
op: ADD gas: 0xba52 gasCost: 3
op: SWAP1 gas: 0xba4f gasCost: 3
op: PUSH2 gas: 0xba4c gasCost: 3
op: SWAP2 gas: 0xba49 gasCost: 3
op: SWAP1 gas: 0xba46 gasCost: 3
op: PUSH2 gas: 0xba43 gasCost: 3
op: JUMP gas: 0xba40 gasCost: 8
op: JUMPDEST gas: 0xba38 gasCost: 1
op: PUSH1 gas: 0xba37 gasCost: 3
op: DUP1 gas: 0xba34 gasCost: 3
op: PUSH1 gas: 0xba31 gasCost: 3
op: DUP4 gas: 0xba2e gasCost: 3
op: DUP6 gas: 0xba2b gasCost: 3
op: SUB gas: 0xba28 gasCost: 3
op: SLT gas: 0xba25 gasCost: 3
op: ISZERO gas: 0xba22 gasCost: 3
op: PUSH2 gas: 0xba1f gasCost: 3
op: JUMPI gas: 0xba1c gasCost: 10
op: JUMPDEST gas: 0xba12 gasCost: 1
op: PUSH1 gas: 0xba11 gasCost: 3
op: PUSH2 gas: 0xba0e gasCost: 3
op: DUP6 gas: 0xba0b gasCost: 3
op: DUP3 gas: 0xba08 gasCost: 3
op: DUP7 gas: 0xba05 gasCost: 3
op: ADD gas: 0xba02 gasCost: 3
op: PUSH2 gas: 0xb9ff gasCost: 3
op: JUMP gas: 0xb9fc gasCost: 8
op: JUMPDEST gas: 0xb9f4 gasCost: 1
op: PUSH1 gas: 0xb9f3 gasCost: 3
op: DUP2 gas: 0xb9f0 gasCost: 3
op: CALLDATALOAD gas: 0xb9ed gasCost: 3
op: SWAP1 gas: 0xb9ea gasCost: 3
op: POP gas: 0xb9e7 gasCost: 2
op: PUSH2 gas: 0xb9e5 gasCost: 3
op: DUP2 gas: 0xb9e2 gasCost: 3
op: PUSH2 gas: 0xb9df gasCost: 3
op: JUMP gas: 0xb9dc gasCost: 8
op: JUMPDEST gas: 0xb9d4 gasCost: 1
op: PUSH2 gas: 0xb9d3 gasCost: 3
op: DUP2 gas: 0xb9d0 gasCost: 3
op: PUSH2 gas: 0xb9cd gasCost: 3
op: JUMP gas: 0xb9ca gasCost: 8
op: JUMPDEST gas: 0xb9c2 gasCost: 1
op: PUSH1 gas: 0xb9c1 gasCost: 3
op: PUSH2 gas: 0xb9be gasCost: 3
