------------- opcode for test0 --------------
op: PUSH1 gas: 0x1003f gasCost: 3
op: PUSH1 gas: 0x1003c gasCost: 3
op: MSTORE gas: 0x10039 gasCost: 12
op: PUSH1 gas: 0x1002d gasCost: 3
op: CALLDATASIZE gas: 0x1002a gasCost: 2
op: LT gas: 0x10028 gasCost: 3
op: PUSH2 gas: 0x10025 gasCost: 3
op: JUMPI gas: 0x10022 gasCost: 10
op: PUSH1 gas: 0x10018 gasCost: 3
op: CALLDATALOAD gas: 0x10015 gasCost: 3
op: PUSH1 gas: 0x10012 gasCost: 3
op: SHR gas: 0x1000f gasCost: 3
op: DUP1 gas: 0x1000c gasCost: 3
op: PUSH4 gas: 0x10009 gasCost: 3
op: GT gas: 0x10006 gasCost: 3
op: PUSH2 gas: 0x10003 gasCost: 3
op: JUMPI gas: 0x10000 gasCost: 10
op: JUMPDEST gas: 0xfff6 gasCost: 1
op: DUP1 gas: 0xfff5 gasCost: 3
op: PUSH4 gas: 0xfff2 gasCost: 3
op: EQ gas: 0xffef gasCost: 3
op: PUSH2 gas: 0xffec gasCost: 3
op: JUMPI gas: 0xffe9 gasCost: 10
op: JUMPDEST gas: 0xffdf gasCost: 1
op: PUSH2 gas: 0xffde gasCost: 3
op: PUSH2 gas: 0xffdb gasCost: 3
op: JUMP gas: 0xffd8 gasCost: 8
op: JUMPDEST gas: 0xffd0 gasCost: 1
op: PUSH1 gas: 0xffcf gasCost: 3
op: SLOAD gas: 0xffcc gasCost: 2100
op: TIMESTAMP gas: 0xf798 gasCost: 2
op: GT gas: 0xf796 gasCost: 3
op: ISZERO gas: 0xf793 gasCost: 3
op: PUSH2 gas: 0xf790 gasCost: 3
op: JUMPI gas: 0xf78d gasCost: 10
op: JUMPDEST gas: 0xf783 gasCost: 1
op: PUSH1 gas: 0xf782 gasCost: 3
op: SLOAD gas: 0xf77f gasCost: 2100
op: CALLVALUE gas: 0xef4b gasCost: 2
op: GT gas: 0xef49 gasCost: 3
op: PUSH2 gas: 0xef46 gasCost: 3
op: JUMPI gas: 0xef43 gasCost: 10
op: JUMPDEST gas: 0xef39 gasCost: 1
op: PUSH1 gas: 0xef38 gasCost: 3
op: PUSH1 gas: 0xef35 gasCost: 3
