------------- opcode for test0 --------------
op: PUSH1 gas: 0xcc94 gasCost: 3
op: PUSH1 gas: 0xcc91 gasCost: 3
op: MSTORE gas: 0xcc8e gasCost: 12
op: PUSH1 gas: 0xcc82 gasCost: 3
op: CALLDATASIZE gas: 0xcc7f gasCost: 2
op: LT gas: 0xcc7d gasCost: 3
op: PUSH2 gas: 0xcc7a gasCost: 3
op: JUMPI gas: 0xcc77 gasCost: 10
op: PUSH1 gas: 0xcc6d gasCost: 3
op: CALLDATALOAD gas: 0xcc6a gasCost: 3
op: PUSH1 gas: 0xcc67 gasCost: 3
op: SHR gas: 0xcc64 gasCost: 3
op: DUP1 gas: 0xcc61 gasCost: 3
op: PUSH4 gas: 0xcc5e gasCost: 3
op: GT gas: 0xcc5b gasCost: 3
op: PUSH2 gas: 0xcc58 gasCost: 3
op: JUMPI gas: 0xcc55 gasCost: 10
op: DUP1 gas: 0xcc4b gasCost: 3
op: PUSH4 gas: 0xcc48 gasCost: 3
op: EQ gas: 0xcc45 gasCost: 3
op: PUSH2 gas: 0xcc42 gasCost: 3
op: JUMPI gas: 0xcc3f gasCost: 10
op: DUP1 gas: 0xcc35 gasCost: 3
op: PUSH4 gas: 0xcc32 gasCost: 3
op: EQ gas: 0xcc2f gasCost: 3
op: PUSH2 gas: 0xcc2c gasCost: 3
op: JUMPI gas: 0xcc29 gasCost: 10
op: DUP1 gas: 0xcc1f gasCost: 3
op: PUSH4 gas: 0xcc1c gasCost: 3
op: EQ gas: 0xcc19 gasCost: 3
op: PUSH2 gas: 0xcc16 gasCost: 3
op: JUMPI gas: 0xcc13 gasCost: 10
op: DUP1 gas: 0xcc09 gasCost: 3
op: PUSH4 gas: 0xcc06 gasCost: 3
op: EQ gas: 0xcc03 gasCost: 3
op: PUSH2 gas: 0xcc00 gasCost: 3
op: JUMPI gas: 0xcbfd gasCost: 10
op: JUMPDEST gas: 0xcbf3 gasCost: 1
op: CALLVALUE gas: 0xcbf2 gasCost: 2
op: DUP1 gas: 0xcbf0 gasCost: 3
op: ISZERO gas: 0xcbed gasCost: 3
op: PUSH2 gas: 0xcbea gasCost: 3
op: JUMPI gas: 0xcbe7 gasCost: 10
op: JUMPDEST gas: 0xcbdd gasCost: 1
op: POP gas: 0xcbdc gasCost: 2
op: PUSH2 gas: 0xcbda gasCost: 3
op: PUSH2 gas: 0xcbd7 gasCost: 3
op: JUMP gas: 0xcbd4 gasCost: 8
op: JUMPDEST gas: 0xcbcc gasCost: 1
op: PUSH1 gas: 0xcbcb gasCost: 3
op: SLOAD gas: 0xcbc8 gasCost: 2100
op: TIMESTAMP gas: 0xc394 gasCost: 2
op: LT gas: 0xc392 gasCost: 3
op: ISZERO gas: 0xc38f gasCost: 3
op: PUSH2 gas: 0xc38c gasCost: 3
op: JUMPI gas: 0xc389 gasCost: 10
op: JUMPDEST gas: 0xc37f gasCost: 1
op: PUSH1 gas: 0xc37e gasCost: 3
op: PUSH1 gas: 0xc37b gasCost: 3
op: SWAP1 gas: 0xc378 gasCost: 3
op: SLOAD gas: 0xc375 gasCost: 2100
op: SWAP1 gas: 0xbb41 gasCost: 3
op: PUSH2 gas: 0xbb3e gasCost: 3
op: EXP gas: 0xbb3b gasCost: 10
op: SWAP1 gas: 0xbb31 gasCost: 3
op: DIV gas: 0xbb2e gasCost: 5
op: PUSH1 gas: 0xbb29 gasCost: 3
op: AND gas: 0xbb26 gasCost: 3
op: ISZERO gas: 0xbb23 gasCost: 3
op: PUSH2 gas: 0xbb20 gasCost: 3
op: JUMPI gas: 0xbb1d gasCost: 10
op: JUMPDEST gas: 0xbb13 gasCost: 1
op: PUSH1 gas: 0xbb12 gasCost: 3
op: PUSH1 gas: 0xbb0f gasCost: 3
op: PUSH1 gas: 0xbb0c gasCost: 3
op: PUSH2 gas: 0xbb09 gasCost: 3
op: EXP gas: 0xbb06 gasCost: 10
op: DUP2 gas: 0xbafc gasCost: 3
op: SLOAD gas: 0xbaf9 gasCost: 100
op: DUP2 gas: 0xba95 gasCost: 3
op: PUSH1 gas: 0xba92 gasCost: 3
op: MUL gas: 0xba8f gasCost: 5
op: NOT gas: 0xba8a gasCost: 3
op: AND gas: 0xba87 gasCost: 3
op: SWAP1 gas: 0xba84 gasCost: 3
op: DUP4 gas: 0xba81 gasCost: 3
op: ISZERO gas: 0xba7e gasCost: 3
op: ISZERO gas: 0xba7b gasCost: 3
op: MUL gas: 0xba78 gasCost: 5
op: OR gas: 0xba73 gasCost: 3
op: SWAP1 gas: 0xba70 gasCost: 3
op: SSTORE gas: 0xba6d gasCost: 20000
op: POP gas: 0x6c4d gasCost: 2
op: PUSH32 gas: 0x6c4b gasCost: 3
op: PUSH1 gas: 0x6c48 gasCost: 3
op: PUSH1 gas: 0x6c45 gasCost: 3
op: SWAP1 gas: 0x6c42 gasCost: 3
op: SLOAD gas: 0x6c3f gasCost: 2100
op: SWAP1 gas: 0x640b gasCost: 3
op: PUSH2 gas: 0x6408 gasCost: 3
op: EXP gas: 0x6405 gasCost: 10
op: SWAP1 gas: 0x63fb gasCost: 3
op: DIV gas: 0x63f8 gasCost: 5
op: PUSH20 gas: 0x63f3 gasCost: 3
op: AND gas: 0x63f0 gasCost: 3
op: PUSH1 gas: 0x63ed gasCost: 3
op: SLOAD gas: 0x63ea gasCost: 2100
op: PUSH1 gas: 0x5bb6 gasCost: 3
op: MLOAD gas: 0x5bb3 gasCost: 3
op: PUSH2 gas: 0x5bb0 gasCost: 3
op: SWAP3 gas: 0x5bad gasCost: 3
op: SWAP2 gas: 0x5baa gasCost: 3
op: SWAP1 gas: 0x5ba7 gasCost: 3
op: PUSH2 gas: 0x5ba4 gasCost: 3
op: JUMP gas: 0x5ba1 gasCost: 8
op: JUMPDEST gas: 0x5b99 gasCost: 1
op: PUSH1 gas: 0x5b98 gasCost: 3
op: PUSH1 gas: 0x5b95 gasCost: 3
op: DUP3 gas: 0x5b92 gasCost: 3
op: ADD gas: 0x5b8f gasCost: 3
op: SWAP1 gas: 0x5b8c gasCost: 3
op: POP gas: 0x5b89 gasCost: 2
op: PUSH2 gas: 0x5b87 gasCost: 3
op: PUSH1 gas: 0x5b84 gasCost: 3
op: DUP4 gas: 0x5b81 gasCost: 3
op: ADD gas: 0x5b7e gasCost: 3
op: DUP6 gas: 0x5b7b gasCost: 3
op: PUSH2 gas: 0x5b78 gasCost: 3
op: JUMP gas: 0x5b75 gasCost: 8
op: JUMPDEST gas: 0x5b6d gasCost: 1
op: PUSH2 gas: 0x5b6c gasCost: 3
op: DUP2 gas: 0x5b69 gasCost: 3
op: PUSH2 gas: 0x5b66 gasCost: 3
op: JUMP gas: 0x5b63 gasCost: 8
op: JUMPDEST gas: 0x5b5b gasCost: 1
op: PUSH1 gas: 0x5b5a gasCost: 3
op: PUSH2 gas: 0x5b57 gasCost: 3
op: DUP3 gas: 0x5b54 gasCost: 3
op: PUSH2 gas: 0x5b51 gasCost: 3
op: JUMP gas: 0x5b4e gasCost: 8
op: JUMPDEST gas: 0x5b46 gasCost: 1
op: PUSH1 gas: 0x5b45 gasCost: 3
op: PUSH20 gas: 0x5b42 gasCost: 3
op: DUP3 gas: 0x5b3f gasCost: 3
op: AND gas: 0x5b3c gasCost: 3
op: SWAP1 gas: 0x5b39 gasCost: 3
op: POP gas: 0x5b36 gasCost: 2
op: SWAP2 gas: 0x5b34 gasCost: 3
op: SWAP1 gas: 0x5b31 gasCost: 3
op: POP gas: 0x5b2e gasCost: 2
op: JUMP gas: 0x5b2c gasCost: 8
op: JUMPDEST gas: 0x5b24 gasCost: 1
op: SWAP1 gas: 0x5b23 gasCost: 3
op: POP gas: 0x5b20 gasCost: 2
op: SWAP2 gas: 0x5b1e gasCost: 3
op: SWAP1 gas: 0x5b1b gasCost: 3
op: POP gas: 0x5b18 gasCost: 2
op: JUMP gas: 0x5b16 gasCost: 8
op: JUMPDEST gas: 0x5b0e gasCost: 1
op: DUP3 gas: 0x5b0d gasCost: 3
op: MSTORE gas: 0x5b0a gasCost: 9
op: POP gas: 0x5b01 gasCost: 2
op: POP gas: 0x5aff gasCost: 2
op: JUMP gas: 0x5afd gasCost: 8
op: JUMPDEST gas: 0x5af5 gasCost: 1
op: PUSH2 gas: 0x5af4 gasCost: 3
op: PUSH1 gas: 0x5af1 gasCost: 3
op: DUP4 gas: 0x5aee gasCost: 3
op: ADD gas: 0x5aeb gasCost: 3
op: DUP5 gas: 0x5ae8 gasCost: 3
op: PUSH2 gas: 0x5ae5 gasCost: 3
op: JUMP gas: 0x5ae2 gasCost: 8
op: JUMPDEST gas: 0x5ada gasCost: 1
