------------- opcode for test0 --------------
op: PUSH1 gas: 0x9087 gasCost: 3
op: PUSH1 gas: 0x9084 gasCost: 3
op: MSTORE gas: 0x9081 gasCost: 12
op: CALLVALUE gas: 0x9075 gasCost: 2
op: DUP1 gas: 0x9073 gasCost: 3
op: ISZERO gas: 0x9070 gasCost: 3
op: PUSH2 gas: 0x906d gasCost: 3
op: JUMPI gas: 0x906a gasCost: 10
op: JUMPDEST gas: 0x9060 gasCost: 1
op: POP gas: 0x905f gasCost: 2
op: PUSH1 gas: 0x905d gasCost: 3
op: CALLDATASIZE gas: 0x905a gasCost: 2
op: LT gas: 0x9058 gasCost: 3
op: PUSH2 gas: 0x9055 gasCost: 3
op: JUMPI gas: 0x9052 gasCost: 10
op: PUSH1 gas: 0x9048 gasCost: 3
op: CALLDATALOAD gas: 0x9045 gasCost: 3
op: PUSH1 gas: 0x9042 gasCost: 3
op: SHR gas: 0x903f gasCost: 3
op: DUP1 gas: 0x903c gasCost: 3
op: PUSH4 gas: 0x9039 gasCost: 3
op: GT gas: 0x9036 gasCost: 3
op: PUSH2 gas: 0x9033 gasCost: 3
op: JUMPI gas: 0x9030 gasCost: 10
op: JUMPDEST gas: 0x9026 gasCost: 1
op: DUP1 gas: 0x9025 gasCost: 3
op: PUSH4 gas: 0x9022 gasCost: 3
op: GT gas: 0x901f gasCost: 3
op: PUSH2 gas: 0x901c gasCost: 3
op: JUMPI gas: 0x9019 gasCost: 10
op: JUMPDEST gas: 0x900f gasCost: 1
op: DUP1 gas: 0x900e gasCost: 3
op: PUSH4 gas: 0x900b gasCost: 3
op: EQ gas: 0x9008 gasCost: 3
op: PUSH2 gas: 0x9005 gasCost: 3
op: JUMPI gas: 0x9002 gasCost: 10
op: DUP1 gas: 0x8ff8 gasCost: 3
op: PUSH4 gas: 0x8ff5 gasCost: 3
op: EQ gas: 0x8ff2 gasCost: 3
op: PUSH2 gas: 0x8fef gasCost: 3
op: JUMPI gas: 0x8fec gasCost: 10
op: JUMPDEST gas: 0x8fe2 gasCost: 1
op: PUSH2 gas: 0x8fe1 gasCost: 3
op: PUSH1 gas: 0x8fde gasCost: 3
op: DUP1 gas: 0x8fdb gasCost: 3
op: CALLDATASIZE gas: 0x8fd8 gasCost: 2
op: SUB gas: 0x8fd6 gasCost: 3
op: DUP2 gas: 0x8fd3 gasCost: 3
op: ADD gas: 0x8fd0 gasCost: 3
op: SWAP1 gas: 0x8fcd gasCost: 3
op: PUSH2 gas: 0x8fca gasCost: 3
op: SWAP2 gas: 0x8fc7 gasCost: 3
op: SWAP1 gas: 0x8fc4 gasCost: 3
op: PUSH2 gas: 0x8fc1 gasCost: 3
op: JUMP gas: 0x8fbe gasCost: 8
op: JUMPDEST gas: 0x8fb6 gasCost: 1
op: PUSH1 gas: 0x8fb5 gasCost: 3
op: DUP1 gas: 0x8fb2 gasCost: 3
op: PUSH1 gas: 0x8faf gasCost: 3
op: DUP4 gas: 0x8fac gasCost: 3
op: DUP6 gas: 0x8fa9 gasCost: 3
op: SUB gas: 0x8fa6 gasCost: 3
op: SLT gas: 0x8fa3 gasCost: 3
op: ISZERO gas: 0x8fa0 gasCost: 3
op: PUSH2 gas: 0x8f9d gasCost: 3
op: JUMPI gas: 0x8f9a gasCost: 10
op: JUMPDEST gas: 0x8f90 gasCost: 1
op: PUSH1 gas: 0x8f8f gasCost: 3
op: PUSH2 gas: 0x8f8c gasCost: 3
op: DUP6 gas: 0x8f89 gasCost: 3
op: DUP3 gas: 0x8f86 gasCost: 3
op: DUP7 gas: 0x8f83 gasCost: 3
op: ADD gas: 0x8f80 gasCost: 3
op: PUSH2 gas: 0x8f7d gasCost: 3
op: JUMP gas: 0x8f7a gasCost: 8
op: JUMPDEST gas: 0x8f72 gasCost: 1
op: PUSH1 gas: 0x8f71 gasCost: 3
op: DUP2 gas: 0x8f6e gasCost: 3
op: CALLDATALOAD gas: 0x8f6b gasCost: 3
op: SWAP1 gas: 0x8f68 gasCost: 3
op: POP gas: 0x8f65 gasCost: 2
op: PUSH2 gas: 0x8f63 gasCost: 3
op: DUP2 gas: 0x8f60 gasCost: 3
op: PUSH2 gas: 0x8f5d gasCost: 3
op: JUMP gas: 0x8f5a gasCost: 8
op: JUMPDEST gas: 0x8f52 gasCost: 1
op: PUSH2 gas: 0x8f51 gasCost: 3
op: DUP2 gas: 0x8f4e gasCost: 3
op: PUSH2 gas: 0x8f4b gasCost: 3
op: JUMP gas: 0x8f48 gasCost: 8
op: JUMPDEST gas: 0x8f40 gasCost: 1
op: PUSH1 gas: 0x8f3f gasCost: 3
op: PUSH2 gas: 0x8f3c gasCost: 3
op: DUP3 gas: 0x8f39 gasCost: 3
op: PUSH2 gas: 0x8f36 gasCost: 3
op: JUMP gas: 0x8f33 gasCost: 8
op: JUMPDEST gas: 0x8f2b gasCost: 1
op: PUSH1 gas: 0x8f2a gasCost: 3
op: PUSH20 gas: 0x8f27 gasCost: 3
op: DUP3 gas: 0x8f24 gasCost: 3
op: AND gas: 0x8f21 gasCost: 3
op: SWAP1 gas: 0x8f1e gasCost: 3
op: POP gas: 0x8f1b gasCost: 2
op: SWAP2 gas: 0x8f19 gasCost: 3
op: SWAP1 gas: 0x8f16 gasCost: 3
op: POP gas: 0x8f13 gasCost: 2
op: JUMP gas: 0x8f11 gasCost: 8
op: JUMPDEST gas: 0x8f09 gasCost: 1
op: SWAP1 gas: 0x8f08 gasCost: 3
op: POP gas: 0x8f05 gasCost: 2
op: SWAP2 gas: 0x8f03 gasCost: 3
op: SWAP1 gas: 0x8f00 gasCost: 3
op: POP gas: 0x8efd gasCost: 2
op: JUMP gas: 0x8efb gasCost: 8
op: JUMPDEST gas: 0x8ef3 gasCost: 1
op: DUP2 gas: 0x8ef2 gasCost: 3
op: EQ gas: 0x8eef gasCost: 3
op: PUSH2 gas: 0x8eec gasCost: 3
op: JUMPI gas: 0x8ee9 gasCost: 10
op: JUMPDEST gas: 0x8edf gasCost: 1
op: POP gas: 0x8ede gasCost: 2
op: JUMP gas: 0x8edc gasCost: 8
op: JUMPDEST gas: 0x8ed4 gasCost: 1
op: SWAP3 gas: 0x8ed3 gasCost: 3
op: SWAP2 gas: 0x8ed0 gasCost: 3
op: POP gas: 0x8ecd gasCost: 2
op: POP gas: 0x8ecb gasCost: 2
op: JUMP gas: 0x8ec9 gasCost: 8
op: JUMPDEST gas: 0x8ec1 gasCost: 1
op: SWAP3 gas: 0x8ec0 gasCost: 3
op: POP gas: 0x8ebd gasCost: 2
op: POP gas: 0x8ebb gasCost: 2
op: PUSH1 gas: 0x8eb9 gasCost: 3
op: PUSH2 gas: 0x8eb6 gasCost: 3
op: DUP6 gas: 0x8eb3 gasCost: 3
op: DUP3 gas: 0x8eb0 gasCost: 3
op: DUP7 gas: 0x8ead gasCost: 3
op: ADD gas: 0x8eaa gasCost: 3
op: PUSH2 gas: 0x8ea7 gasCost: 3
op: JUMP gas: 0x8ea4 gasCost: 8
op: JUMPDEST gas: 0x8e9c gasCost: 1
op: PUSH1 gas: 0x8e9b gasCost: 3
op: DUP2 gas: 0x8e98 gasCost: 3
op: CALLDATALOAD gas: 0x8e95 gasCost: 3
op: SWAP1 gas: 0x8e92 gasCost: 3
op: POP gas: 0x8e8f gasCost: 2
op: PUSH2 gas: 0x8e8d gasCost: 3
op: DUP2 gas: 0x8e8a gasCost: 3
op: PUSH2 gas: 0x8e87 gasCost: 3
op: JUMP gas: 0x8e84 gasCost: 8
op: JUMPDEST gas: 0x8e7c gasCost: 1
op: PUSH2 gas: 0x8e7b gasCost: 3
op: DUP2 gas: 0x8e78 gasCost: 3
op: PUSH2 gas: 0x8e75 gasCost: 3
op: JUMP gas: 0x8e72 gasCost: 8
op: JUMPDEST gas: 0x8e6a gasCost: 1
op: PUSH1 gas: 0x8e69 gasCost: 3
op: DUP2 gas: 0x8e66 gasCost: 3
op: SWAP1 gas: 0x8e63 gasCost: 3
op: POP gas: 0x8e60 gasCost: 2
op: SWAP2 gas: 0x8e5e gasCost: 3
op: SWAP1 gas: 0x8e5b gasCost: 3
