------------- opcode for test0 --------------
op: PUSH1 gas: 0x6e7c gasCost: 3
op: PUSH1 gas: 0x6e79 gasCost: 3
op: MSTORE gas: 0x6e76 gasCost: 12
op: CALLVALUE gas: 0x6e6a gasCost: 2
op: DUP1 gas: 0x6e68 gasCost: 3
op: ISZERO gas: 0x6e65 gasCost: 3
op: PUSH2 gas: 0x6e62 gasCost: 3
op: JUMPI gas: 0x6e5f gasCost: 10
op: JUMPDEST gas: 0x6e55 gasCost: 1
op: POP gas: 0x6e54 gasCost: 2
op: PUSH1 gas: 0x6e52 gasCost: 3
op: CALLDATASIZE gas: 0x6e4f gasCost: 2
op: LT gas: 0x6e4d gasCost: 3
op: PUSH2 gas: 0x6e4a gasCost: 3
op: JUMPI gas: 0x6e47 gasCost: 10
op: PUSH1 gas: 0x6e3d gasCost: 3
op: CALLDATALOAD gas: 0x6e3a gasCost: 3
op: PUSH1 gas: 0x6e37 gasCost: 3
op: SHR gas: 0x6e34 gasCost: 3
op: DUP1 gas: 0x6e31 gasCost: 3
op: PUSH4 gas: 0x6e2e gasCost: 3
op: GT gas: 0x6e2b gasCost: 3
op: PUSH2 gas: 0x6e28 gasCost: 3
op: JUMPI gas: 0x6e25 gasCost: 10
op: DUP1 gas: 0x6e1b gasCost: 3
op: PUSH4 gas: 0x6e18 gasCost: 3
op: GT gas: 0x6e15 gasCost: 3
op: PUSH2 gas: 0x6e12 gasCost: 3
op: JUMPI gas: 0x6e0f gasCost: 10
op: JUMPDEST gas: 0x6e05 gasCost: 1
op: DUP1 gas: 0x6e04 gasCost: 3
op: PUSH4 gas: 0x6e01 gasCost: 3
op: EQ gas: 0x6dfe gasCost: 3
op: PUSH2 gas: 0x6dfb gasCost: 3
op: JUMPI gas: 0x6df8 gasCost: 10
op: DUP1 gas: 0x6dee gasCost: 3
op: PUSH4 gas: 0x6deb gasCost: 3
op: EQ gas: 0x6de8 gasCost: 3
op: PUSH2 gas: 0x6de5 gasCost: 3
op: JUMPI gas: 0x6de2 gasCost: 10
op: DUP1 gas: 0x6dd8 gasCost: 3
op: PUSH4 gas: 0x6dd5 gasCost: 3
op: EQ gas: 0x6dd2 gasCost: 3
op: PUSH2 gas: 0x6dcf gasCost: 3
op: JUMPI gas: 0x6dcc gasCost: 10
op: DUP1 gas: 0x6dc2 gasCost: 3
op: PUSH4 gas: 0x6dbf gasCost: 3
op: EQ gas: 0x6dbc gasCost: 3
op: PUSH2 gas: 0x6db9 gasCost: 3
op: JUMPI gas: 0x6db6 gasCost: 10
op: JUMPDEST gas: 0x6dac gasCost: 1
op: PUSH2 gas: 0x6dab gasCost: 3
op: PUSH1 gas: 0x6da8 gasCost: 3
op: DUP1 gas: 0x6da5 gasCost: 3
op: CALLDATASIZE gas: 0x6da2 gasCost: 2
op: SUB gas: 0x6da0 gasCost: 3
op: DUP2 gas: 0x6d9d gasCost: 3
op: ADD gas: 0x6d9a gasCost: 3
op: SWAP1 gas: 0x6d97 gasCost: 3
op: PUSH2 gas: 0x6d94 gasCost: 3
op: SWAP2 gas: 0x6d91 gasCost: 3
op: SWAP1 gas: 0x6d8e gasCost: 3
op: PUSH2 gas: 0x6d8b gasCost: 3
op: JUMP gas: 0x6d88 gasCost: 8
op: JUMPDEST gas: 0x6d80 gasCost: 1
op: PUSH1 gas: 0x6d7f gasCost: 3
op: DUP1 gas: 0x6d7c gasCost: 3
op: PUSH1 gas: 0x6d79 gasCost: 3
op: DUP4 gas: 0x6d76 gasCost: 3
op: DUP6 gas: 0x6d73 gasCost: 3
op: SUB gas: 0x6d70 gasCost: 3
op: SLT gas: 0x6d6d gasCost: 3
op: ISZERO gas: 0x6d6a gasCost: 3
op: PUSH2 gas: 0x6d67 gasCost: 3
op: JUMPI gas: 0x6d64 gasCost: 10
op: JUMPDEST gas: 0x6d5a gasCost: 1
op: PUSH1 gas: 0x6d59 gasCost: 3
op: PUSH2 gas: 0x6d56 gasCost: 3
op: DUP6 gas: 0x6d53 gasCost: 3
op: DUP3 gas: 0x6d50 gasCost: 3
op: DUP7 gas: 0x6d4d gasCost: 3
op: ADD gas: 0x6d4a gasCost: 3
op: PUSH2 gas: 0x6d47 gasCost: 3
op: JUMP gas: 0x6d44 gasCost: 8
op: JUMPDEST gas: 0x6d3c gasCost: 1
op: PUSH1 gas: 0x6d3b gasCost: 3
op: DUP2 gas: 0x6d38 gasCost: 3
op: CALLDATALOAD gas: 0x6d35 gasCost: 3
op: SWAP1 gas: 0x6d32 gasCost: 3
op: POP gas: 0x6d2f gasCost: 2
op: PUSH2 gas: 0x6d2d gasCost: 3
op: DUP2 gas: 0x6d2a gasCost: 3
op: PUSH2 gas: 0x6d27 gasCost: 3
op: JUMP gas: 0x6d24 gasCost: 8
op: JUMPDEST gas: 0x6d1c gasCost: 1
op: PUSH2 gas: 0x6d1b gasCost: 3
op: DUP2 gas: 0x6d18 gasCost: 3
op: PUSH2 gas: 0x6d15 gasCost: 3
op: JUMP gas: 0x6d12 gasCost: 8
op: JUMPDEST gas: 0x6d0a gasCost: 1
op: PUSH1 gas: 0x6d09 gasCost: 3
