------------- opcode for test0 --------------
op: PUSH1 gas: 0x82d4 gasCost: 3
op: PUSH1 gas: 0x82d1 gasCost: 3
op: MSTORE gas: 0x82ce gasCost: 12
op: CALLVALUE gas: 0x82c2 gasCost: 2
op: DUP1 gas: 0x82c0 gasCost: 3
op: ISZERO gas: 0x82bd gasCost: 3
op: PUSH2 gas: 0x82ba gasCost: 3
op: JUMPI gas: 0x82b7 gasCost: 10
op: JUMPDEST gas: 0x82ad gasCost: 1
op: POP gas: 0x82ac gasCost: 2
op: PUSH1 gas: 0x82aa gasCost: 3
op: CALLDATASIZE gas: 0x82a7 gasCost: 2
op: LT gas: 0x82a5 gasCost: 3
op: PUSH2 gas: 0x82a2 gasCost: 3
op: JUMPI gas: 0x829f gasCost: 10
op: PUSH1 gas: 0x8295 gasCost: 3
op: CALLDATALOAD gas: 0x8292 gasCost: 3
op: PUSH1 gas: 0x828f gasCost: 3
op: SHR gas: 0x828c gasCost: 3
op: DUP1 gas: 0x8289 gasCost: 3
op: PUSH4 gas: 0x8286 gasCost: 3
op: GT gas: 0x8283 gasCost: 3
op: PUSH2 gas: 0x8280 gasCost: 3
op: JUMPI gas: 0x827d gasCost: 10
op: DUP1 gas: 0x8273 gasCost: 3
op: PUSH4 gas: 0x8270 gasCost: 3
op: GT gas: 0x826d gasCost: 3
op: PUSH2 gas: 0x826a gasCost: 3
op: JUMPI gas: 0x8267 gasCost: 10
op: DUP1 gas: 0x825d gasCost: 3
op: PUSH4 gas: 0x825a gasCost: 3
op: EQ gas: 0x8257 gasCost: 3
op: PUSH2 gas: 0x8254 gasCost: 3
op: JUMPI gas: 0x8251 gasCost: 10
op: DUP1 gas: 0x8247 gasCost: 3
op: PUSH4 gas: 0x8244 gasCost: 3
op: EQ gas: 0x8241 gasCost: 3
op: PUSH2 gas: 0x823e gasCost: 3
op: JUMPI gas: 0x823b gasCost: 10
op: DUP1 gas: 0x8231 gasCost: 3
op: PUSH4 gas: 0x822e gasCost: 3
op: EQ gas: 0x822b gasCost: 3
op: PUSH2 gas: 0x8228 gasCost: 3
op: JUMPI gas: 0x8225 gasCost: 10
op: DUP1 gas: 0x821b gasCost: 3
op: PUSH4 gas: 0x8218 gasCost: 3
op: EQ gas: 0x8215 gasCost: 3
op: PUSH2 gas: 0x8212 gasCost: 3
op: JUMPI gas: 0x820f gasCost: 10
op: JUMPDEST gas: 0x8205 gasCost: 1
op: PUSH2 gas: 0x8204 gasCost: 3
op: PUSH1 gas: 0x8201 gasCost: 3
op: DUP1 gas: 0x81fe gasCost: 3
op: CALLDATASIZE gas: 0x81fb gasCost: 2
op: SUB gas: 0x81f9 gasCost: 3
op: DUP2 gas: 0x81f6 gasCost: 3
op: ADD gas: 0x81f3 gasCost: 3
op: SWAP1 gas: 0x81f0 gasCost: 3
op: PUSH2 gas: 0x81ed gasCost: 3
op: SWAP2 gas: 0x81ea gasCost: 3
op: SWAP1 gas: 0x81e7 gasCost: 3
op: PUSH2 gas: 0x81e4 gasCost: 3
op: JUMP gas: 0x81e1 gasCost: 8
op: JUMPDEST gas: 0x81d9 gasCost: 1
op: PUSH1 gas: 0x81d8 gasCost: 3
op: DUP1 gas: 0x81d5 gasCost: 3
op: PUSH1 gas: 0x81d2 gasCost: 3
op: DUP4 gas: 0x81cf gasCost: 3
op: DUP6 gas: 0x81cc gasCost: 3
op: SUB gas: 0x81c9 gasCost: 3
op: SLT gas: 0x81c6 gasCost: 3
op: ISZERO gas: 0x81c3 gasCost: 3
op: PUSH2 gas: 0x81c0 gasCost: 3
op: JUMPI gas: 0x81bd gasCost: 10
op: JUMPDEST gas: 0x81b3 gasCost: 1
op: PUSH1 gas: 0x81b2 gasCost: 3
op: PUSH2 gas: 0x81af gasCost: 3
op: DUP6 gas: 0x81ac gasCost: 3
op: DUP3 gas: 0x81a9 gasCost: 3
op: DUP7 gas: 0x81a6 gasCost: 3
op: ADD gas: 0x81a3 gasCost: 3
op: PUSH2 gas: 0x81a0 gasCost: 3
op: JUMP gas: 0x819d gasCost: 8
op: JUMPDEST gas: 0x8195 gasCost: 1
op: PUSH1 gas: 0x8194 gasCost: 3
op: DUP2 gas: 0x8191 gasCost: 3
op: CALLDATALOAD gas: 0x818e gasCost: 3
op: SWAP1 gas: 0x818b gasCost: 3
op: POP gas: 0x8188 gasCost: 2
op: PUSH2 gas: 0x8186 gasCost: 3
op: DUP2 gas: 0x8183 gasCost: 3
op: PUSH2 gas: 0x8180 gasCost: 3
op: JUMP gas: 0x817d gasCost: 8
op: JUMPDEST gas: 0x8175 gasCost: 1
op: PUSH2 gas: 0x8174 gasCost: 3
op: DUP2 gas: 0x8171 gasCost: 3
op: PUSH2 gas: 0x816e gasCost: 3
op: JUMP gas: 0x816b gasCost: 8
op: JUMPDEST gas: 0x8163 gasCost: 1
op: PUSH1 gas: 0x8162 gasCost: 3
op: PUSH2 gas: 0x815f gasCost: 3
op: DUP3 gas: 0x815c gasCost: 3
op: PUSH2 gas: 0x8159 gasCost: 3
op: JUMP gas: 0x8156 gasCost: 8
op: JUMPDEST gas: 0x814e gasCost: 1
op: PUSH1 gas: 0x814d gasCost: 3
op: PUSH20 gas: 0x814a gasCost: 3
op: DUP3 gas: 0x8147 gasCost: 3
op: AND gas: 0x8144 gasCost: 3
op: SWAP1 gas: 0x8141 gasCost: 3
op: POP gas: 0x813e gasCost: 2
op: SWAP2 gas: 0x813c gasCost: 3
op: SWAP1 gas: 0x8139 gasCost: 3
op: POP gas: 0x8136 gasCost: 2
op: JUMP gas: 0x8134 gasCost: 8
op: JUMPDEST gas: 0x812c gasCost: 1
op: SWAP1 gas: 0x812b gasCost: 3
op: POP gas: 0x8128 gasCost: 2
op: SWAP2 gas: 0x8126 gasCost: 3
op: SWAP1 gas: 0x8123 gasCost: 3
op: POP gas: 0x8120 gasCost: 2
op: JUMP gas: 0x811e gasCost: 8
op: JUMPDEST gas: 0x8116 gasCost: 1
op: DUP2 gas: 0x8115 gasCost: 3
op: EQ gas: 0x8112 gasCost: 3
op: PUSH2 gas: 0x810f gasCost: 3
op: JUMPI gas: 0x810c gasCost: 10
op: JUMPDEST gas: 0x8102 gasCost: 1
op: POP gas: 0x8101 gasCost: 2
op: JUMP gas: 0x80ff gasCost: 8
op: JUMPDEST gas: 0x80f7 gasCost: 1
op: SWAP3 gas: 0x80f6 gasCost: 3
op: SWAP2 gas: 0x80f3 gasCost: 3
op: POP gas: 0x80f0 gasCost: 2
op: POP gas: 0x80ee gasCost: 2
op: JUMP gas: 0x80ec gasCost: 8
op: JUMPDEST gas: 0x80e4 gasCost: 1
