------------- opcode for test0 --------------
op: PUSH1 gas: 0xc0d4 gasCost: 3
op: PUSH1 gas: 0xc0d1 gasCost: 3
op: MSTORE gas: 0xc0ce gasCost: 12
op: CALLVALUE gas: 0xc0c2 gasCost: 2
op: DUP1 gas: 0xc0c0 gasCost: 3
op: ISZERO gas: 0xc0bd gasCost: 3
op: PUSH2 gas: 0xc0ba gasCost: 3
op: JUMPI gas: 0xc0b7 gasCost: 10
op: JUMPDEST gas: 0xc0ad gasCost: 1
op: POP gas: 0xc0ac gasCost: 2
op: PUSH1 gas: 0xc0aa gasCost: 3
op: CALLDATASIZE gas: 0xc0a7 gasCost: 2
op: LT gas: 0xc0a5 gasCost: 3
op: PUSH2 gas: 0xc0a2 gasCost: 3
op: JUMPI gas: 0xc09f gasCost: 10
op: PUSH1 gas: 0xc095 gasCost: 3
op: CALLDATALOAD gas: 0xc092 gasCost: 3
op: PUSH1 gas: 0xc08f gasCost: 3
op: SHR gas: 0xc08c gasCost: 3
op: DUP1 gas: 0xc089 gasCost: 3
op: PUSH4 gas: 0xc086 gasCost: 3
op: GT gas: 0xc083 gasCost: 3
op: PUSH2 gas: 0xc080 gasCost: 3
op: JUMPI gas: 0xc07d gasCost: 10
op: DUP1 gas: 0xc073 gasCost: 3
op: PUSH4 gas: 0xc070 gasCost: 3
op: GT gas: 0xc06d gasCost: 3
op: PUSH2 gas: 0xc06a gasCost: 3
op: JUMPI gas: 0xc067 gasCost: 10
op: JUMPDEST gas: 0xc05d gasCost: 1
op: DUP1 gas: 0xc05c gasCost: 3
op: PUSH4 gas: 0xc059 gasCost: 3
op: EQ gas: 0xc056 gasCost: 3
op: PUSH2 gas: 0xc053 gasCost: 3
op: JUMPI gas: 0xc050 gasCost: 10
op: DUP1 gas: 0xc046 gasCost: 3
op: PUSH4 gas: 0xc043 gasCost: 3
op: EQ gas: 0xc040 gasCost: 3
op: PUSH2 gas: 0xc03d gasCost: 3
op: JUMPI gas: 0xc03a gasCost: 10
op: DUP1 gas: 0xc030 gasCost: 3
op: PUSH4 gas: 0xc02d gasCost: 3
op: EQ gas: 0xc02a gasCost: 3
op: PUSH2 gas: 0xc027 gasCost: 3
op: JUMPI gas: 0xc024 gasCost: 10
op: JUMPDEST gas: 0xc01a gasCost: 1
op: PUSH2 gas: 0xc019 gasCost: 3
op: PUSH1 gas: 0xc016 gasCost: 3
op: DUP1 gas: 0xc013 gasCost: 3
op: CALLDATASIZE gas: 0xc010 gasCost: 2
op: SUB gas: 0xc00e gasCost: 3
op: DUP2 gas: 0xc00b gasCost: 3
op: ADD gas: 0xc008 gasCost: 3
op: SWAP1 gas: 0xc005 gasCost: 3
op: PUSH2 gas: 0xc002 gasCost: 3
op: SWAP2 gas: 0xbfff gasCost: 3
op: SWAP1 gas: 0xbffc gasCost: 3
op: PUSH2 gas: 0xbff9 gasCost: 3
op: JUMP gas: 0xbff6 gasCost: 8
op: JUMPDEST gas: 0xbfee gasCost: 1
op: PUSH1 gas: 0xbfed gasCost: 3
op: DUP1 gas: 0xbfea gasCost: 3
op: PUSH1 gas: 0xbfe7 gasCost: 3
op: PUSH1 gas: 0xbfe4 gasCost: 3
