------------- opcode for test0 --------------
op: PUSH1 gas: 0x3e3c gasCost: 3
op: PUSH1 gas: 0x3e39 gasCost: 3
op: MSTORE gas: 0x3e36 gasCost: 12
op: CALLVALUE gas: 0x3e2a gasCost: 2
op: DUP1 gas: 0x3e28 gasCost: 3
op: ISZERO gas: 0x3e25 gasCost: 3
op: PUSH2 gas: 0x3e22 gasCost: 3
op: JUMPI gas: 0x3e1f gasCost: 10
op: JUMPDEST gas: 0x3e15 gasCost: 1
op: POP gas: 0x3e14 gasCost: 2
op: PUSH1 gas: 0x3e12 gasCost: 3
op: CALLDATASIZE gas: 0x3e0f gasCost: 2
op: LT gas: 0x3e0d gasCost: 3
op: PUSH2 gas: 0x3e0a gasCost: 3
op: JUMPI gas: 0x3e07 gasCost: 10
op: PUSH1 gas: 0x3dfd gasCost: 3
op: CALLDATALOAD gas: 0x3dfa gasCost: 3
op: PUSH1 gas: 0x3df7 gasCost: 3
op: SHR gas: 0x3df4 gasCost: 3
op: DUP1 gas: 0x3df1 gasCost: 3
op: PUSH4 gas: 0x3dee gasCost: 3
op: GT gas: 0x3deb gasCost: 3
op: PUSH2 gas: 0x3de8 gasCost: 3
op: JUMPI gas: 0x3de5 gasCost: 10
op: DUP1 gas: 0x3ddb gasCost: 3
op: PUSH4 gas: 0x3dd8 gasCost: 3
op: GT gas: 0x3dd5 gasCost: 3
op: PUSH2 gas: 0x3dd2 gasCost: 3
op: JUMPI gas: 0x3dcf gasCost: 10
op: DUP1 gas: 0x3dc5 gasCost: 3
op: PUSH4 gas: 0x3dc2 gasCost: 3
op: EQ gas: 0x3dbf gasCost: 3
op: PUSH2 gas: 0x3dbc gasCost: 3
op: JUMPI gas: 0x3db9 gasCost: 10
op: JUMPDEST gas: 0x3daf gasCost: 1
op: PUSH2 gas: 0x3dae gasCost: 3
op: PUSH1 gas: 0x3dab gasCost: 3
op: DUP1 gas: 0x3da8 gasCost: 3
op: CALLDATASIZE gas: 0x3da5 gasCost: 2
op: SUB gas: 0x3da3 gasCost: 3
op: DUP2 gas: 0x3da0 gasCost: 3
op: ADD gas: 0x3d9d gasCost: 3
op: SWAP1 gas: 0x3d9a gasCost: 3
op: PUSH2 gas: 0x3d97 gasCost: 3
op: SWAP2 gas: 0x3d94 gasCost: 3
op: SWAP1 gas: 0x3d91 gasCost: 3
op: PUSH2 gas: 0x3d8e gasCost: 3
op: JUMP gas: 0x3d8b gasCost: 8
op: JUMPDEST gas: 0x3d83 gasCost: 1
op: PUSH1 gas: 0x3d82 gasCost: 3
op: DUP1 gas: 0x3d7f gasCost: 3
op: PUSH1 gas: 0x3d7c gasCost: 3
op: DUP4 gas: 0x3d79 gasCost: 3
op: DUP6 gas: 0x3d76 gasCost: 3
op: SUB gas: 0x3d73 gasCost: 3
op: SLT gas: 0x3d70 gasCost: 3
