------------- opcode for test0 --------------
op: PUSH1 gas: 0x3f19 gasCost: 3
op: PUSH1 gas: 0x3f16 gasCost: 3
op: MSTORE gas: 0x3f13 gasCost: 12
op: CALLVALUE gas: 0x3f07 gasCost: 2
op: DUP1 gas: 0x3f05 gasCost: 3
op: ISZERO gas: 0x3f02 gasCost: 3
op: PUSH2 gas: 0x3eff gasCost: 3
op: JUMPI gas: 0x3efc gasCost: 10
op: JUMPDEST gas: 0x3ef2 gasCost: 1
op: POP gas: 0x3ef1 gasCost: 2
op: PUSH1 gas: 0x3eef gasCost: 3
op: CALLDATASIZE gas: 0x3eec gasCost: 2
op: LT gas: 0x3eea gasCost: 3
op: PUSH2 gas: 0x3ee7 gasCost: 3
op: JUMPI gas: 0x3ee4 gasCost: 10
op: PUSH1 gas: 0x3eda gasCost: 3
op: CALLDATALOAD gas: 0x3ed7 gasCost: 3
op: PUSH1 gas: 0x3ed4 gasCost: 3
op: SHR gas: 0x3ed1 gasCost: 3
op: DUP1 gas: 0x3ece gasCost: 3
op: PUSH4 gas: 0x3ecb gasCost: 3
op: GT gas: 0x3ec8 gasCost: 3
op: PUSH2 gas: 0x3ec5 gasCost: 3
op: JUMPI gas: 0x3ec2 gasCost: 10
op: JUMPDEST gas: 0x3eb8 gasCost: 1
op: DUP1 gas: 0x3eb7 gasCost: 3
op: PUSH4 gas: 0x3eb4 gasCost: 3
op: GT gas: 0x3eb1 gasCost: 3
op: PUSH2 gas: 0x3eae gasCost: 3
op: JUMPI gas: 0x3eab gasCost: 10
op: DUP1 gas: 0x3ea1 gasCost: 3
op: PUSH4 gas: 0x3e9e gasCost: 3
op: EQ gas: 0x3e9b gasCost: 3
op: PUSH2 gas: 0x3e98 gasCost: 3
op: JUMPI gas: 0x3e95 gasCost: 10
op: DUP1 gas: 0x3e8b gasCost: 3
op: PUSH4 gas: 0x3e88 gasCost: 3
op: EQ gas: 0x3e85 gasCost: 3
op: PUSH2 gas: 0x3e82 gasCost: 3
op: JUMPI gas: 0x3e7f gasCost: 10
op: JUMPDEST gas: 0x3e75 gasCost: 1
op: PUSH2 gas: 0x3e74 gasCost: 3
op: PUSH1 gas: 0x3e71 gasCost: 3
op: DUP1 gas: 0x3e6e gasCost: 3
op: CALLDATASIZE gas: 0x3e6b gasCost: 2
op: SUB gas: 0x3e69 gasCost: 3
op: DUP2 gas: 0x3e66 gasCost: 3
op: ADD gas: 0x3e63 gasCost: 3
op: SWAP1 gas: 0x3e60 gasCost: 3
op: PUSH2 gas: 0x3e5d gasCost: 3
op: SWAP2 gas: 0x3e5a gasCost: 3
op: SWAP1 gas: 0x3e57 gasCost: 3
op: PUSH2 gas: 0x3e54 gasCost: 3
op: JUMP gas: 0x3e51 gasCost: 8
op: JUMPDEST gas: 0x3e49 gasCost: 1
op: PUSH1 gas: 0x3e48 gasCost: 3
op: DUP1 gas: 0x3e45 gasCost: 3
