------------- opcode for test0 --------------
op: PUSH1 gas: 0x16942 gasCost: 3
op: PUSH1 gas: 0x1693f gasCost: 3
op: MSTORE gas: 0x1693c gasCost: 12
op: CALLVALUE gas: 0x16930 gasCost: 2
op: DUP1 gas: 0x1692e gasCost: 3
op: ISZERO gas: 0x1692b gasCost: 3
op: PUSH2 gas: 0x16928 gasCost: 3
op: JUMPI gas: 0x16925 gasCost: 10
op: JUMPDEST gas: 0x1691b gasCost: 1
op: POP gas: 0x1691a gasCost: 2
op: PUSH1 gas: 0x16918 gasCost: 3
op: CALLDATASIZE gas: 0x16915 gasCost: 2
op: LT gas: 0x16913 gasCost: 3
op: PUSH2 gas: 0x16910 gasCost: 3
op: JUMPI gas: 0x1690d gasCost: 10
op: PUSH1 gas: 0x16903 gasCost: 3
op: CALLDATALOAD gas: 0x16900 gasCost: 3
op: PUSH1 gas: 0x168fd gasCost: 3
op: SHR gas: 0x168fa gasCost: 3
op: DUP1 gas: 0x168f7 gasCost: 3
op: PUSH4 gas: 0x168f4 gasCost: 3
op: GT gas: 0x168f1 gasCost: 3
op: PUSH2 gas: 0x168ee gasCost: 3
op: JUMPI gas: 0x168eb gasCost: 10
op: JUMPDEST gas: 0x168e1 gasCost: 1
op: DUP1 gas: 0x168e0 gasCost: 3
op: PUSH4 gas: 0x168dd gasCost: 3
op: GT gas: 0x168da gasCost: 3
op: PUSH2 gas: 0x168d7 gasCost: 3
op: JUMPI gas: 0x168d4 gasCost: 10
op: DUP1 gas: 0x168ca gasCost: 3
op: PUSH4 gas: 0x168c7 gasCost: 3
op: EQ gas: 0x168c4 gasCost: 3
op: PUSH2 gas: 0x168c1 gasCost: 3
op: JUMPI gas: 0x168be gasCost: 10
op: DUP1 gas: 0x168b4 gasCost: 3
op: PUSH4 gas: 0x168b1 gasCost: 3
op: EQ gas: 0x168ae gasCost: 3
op: PUSH2 gas: 0x168ab gasCost: 3
op: JUMPI gas: 0x168a8 gasCost: 10
op: DUP1 gas: 0x1689e gasCost: 3
op: PUSH4 gas: 0x1689b gasCost: 3
op: EQ gas: 0x16898 gasCost: 3
op: PUSH2 gas: 0x16895 gasCost: 3
op: JUMPI gas: 0x16892 gasCost: 10
op: JUMPDEST gas: 0x16888 gasCost: 1
op: PUSH2 gas: 0x16887 gasCost: 3
op: PUSH1 gas: 0x16884 gasCost: 3
op: DUP1 gas: 0x16881 gasCost: 3
op: CALLDATASIZE gas: 0x1687e gasCost: 2
op: SUB gas: 0x1687c gasCost: 3
op: DUP2 gas: 0x16879 gasCost: 3
op: ADD gas: 0x16876 gasCost: 3
op: SWAP1 gas: 0x16873 gasCost: 3
op: PUSH2 gas: 0x16870 gasCost: 3
op: SWAP2 gas: 0x1686d gasCost: 3
op: SWAP1 gas: 0x1686a gasCost: 3
op: PUSH2 gas: 0x16867 gasCost: 3
op: JUMP gas: 0x16864 gasCost: 8
op: JUMPDEST gas: 0x1685c gasCost: 1
op: PUSH1 gas: 0x1685b gasCost: 3
op: DUP1 gas: 0x16858 gasCost: 3
op: PUSH1 gas: 0x16855 gasCost: 3
op: DUP4 gas: 0x16852 gasCost: 3
op: DUP6 gas: 0x1684f gasCost: 3
op: SUB gas: 0x1684c gasCost: 3
op: SLT gas: 0x16849 gasCost: 3
op: ISZERO gas: 0x16846 gasCost: 3
op: PUSH2 gas: 0x16843 gasCost: 3
op: JUMPI gas: 0x16840 gasCost: 10
op: JUMPDEST gas: 0x16836 gasCost: 1
op: PUSH1 gas: 0x16835 gasCost: 3
op: PUSH2 gas: 0x16832 gasCost: 3
op: DUP6 gas: 0x1682f gasCost: 3
op: DUP3 gas: 0x1682c gasCost: 3
op: DUP7 gas: 0x16829 gasCost: 3
op: ADD gas: 0x16826 gasCost: 3
op: PUSH2 gas: 0x16823 gasCost: 3
op: JUMP gas: 0x16820 gasCost: 8
op: JUMPDEST gas: 0x16818 gasCost: 1
op: PUSH1 gas: 0x16817 gasCost: 3
op: DUP2 gas: 0x16814 gasCost: 3
op: CALLDATALOAD gas: 0x16811 gasCost: 3
op: SWAP1 gas: 0x1680e gasCost: 3
op: POP gas: 0x1680b gasCost: 2
op: PUSH2 gas: 0x16809 gasCost: 3
op: DUP2 gas: 0x16806 gasCost: 3
op: PUSH2 gas: 0x16803 gasCost: 3
op: JUMP gas: 0x16800 gasCost: 8
op: JUMPDEST gas: 0x167f8 gasCost: 1
op: PUSH2 gas: 0x167f7 gasCost: 3
op: DUP2 gas: 0x167f4 gasCost: 3
op: PUSH2 gas: 0x167f1 gasCost: 3
op: JUMP gas: 0x167ee gasCost: 8
op: JUMPDEST gas: 0x167e6 gasCost: 1
op: PUSH1 gas: 0x167e5 gasCost: 3
op: PUSH2 gas: 0x167e2 gasCost: 3
