------------- opcode for test0 --------------
op: PUSH1 gas: 0xaa22 gasCost: 3
op: PUSH1 gas: 0xaa1f gasCost: 3
op: MSTORE gas: 0xaa1c gasCost: 12
op: CALLVALUE gas: 0xaa10 gasCost: 2
op: DUP1 gas: 0xaa0e gasCost: 3
op: ISZERO gas: 0xaa0b gasCost: 3
op: PUSH2 gas: 0xaa08 gasCost: 3
op: JUMPI gas: 0xaa05 gasCost: 10
op: JUMPDEST gas: 0xa9fb gasCost: 1
op: POP gas: 0xa9fa gasCost: 2
op: PUSH1 gas: 0xa9f8 gasCost: 3
op: CALLDATASIZE gas: 0xa9f5 gasCost: 2
op: LT gas: 0xa9f3 gasCost: 3
op: PUSH2 gas: 0xa9f0 gasCost: 3
op: JUMPI gas: 0xa9ed gasCost: 10
op: PUSH1 gas: 0xa9e3 gasCost: 3
op: CALLDATALOAD gas: 0xa9e0 gasCost: 3
op: PUSH1 gas: 0xa9dd gasCost: 3
op: SHR gas: 0xa9da gasCost: 3
op: DUP1 gas: 0xa9d7 gasCost: 3
op: PUSH4 gas: 0xa9d4 gasCost: 3
op: GT gas: 0xa9d1 gasCost: 3
op: PUSH2 gas: 0xa9ce gasCost: 3
op: JUMPI gas: 0xa9cb gasCost: 10
op: DUP1 gas: 0xa9c1 gasCost: 3
op: PUSH4 gas: 0xa9be gasCost: 3
op: GT gas: 0xa9bb gasCost: 3
op: PUSH2 gas: 0xa9b8 gasCost: 3
op: JUMPI gas: 0xa9b5 gasCost: 10
op: DUP1 gas: 0xa9ab gasCost: 3
op: PUSH4 gas: 0xa9a8 gasCost: 3
op: EQ gas: 0xa9a5 gasCost: 3
op: PUSH2 gas: 0xa9a2 gasCost: 3
op: JUMPI gas: 0xa99f gasCost: 10
op: DUP1 gas: 0xa995 gasCost: 3
op: PUSH4 gas: 0xa992 gasCost: 3
op: EQ gas: 0xa98f gasCost: 3
op: PUSH2 gas: 0xa98c gasCost: 3
op: JUMPI gas: 0xa989 gasCost: 10
op: JUMPDEST gas: 0xa97f gasCost: 1
op: PUSH2 gas: 0xa97e gasCost: 3
op: PUSH1 gas: 0xa97b gasCost: 3
op: DUP1 gas: 0xa978 gasCost: 3
op: CALLDATASIZE gas: 0xa975 gasCost: 2
op: SUB gas: 0xa973 gasCost: 3
op: DUP2 gas: 0xa970 gasCost: 3
op: ADD gas: 0xa96d gasCost: 3
op: SWAP1 gas: 0xa96a gasCost: 3
op: PUSH2 gas: 0xa967 gasCost: 3
op: SWAP2 gas: 0xa964 gasCost: 3
op: SWAP1 gas: 0xa961 gasCost: 3
op: PUSH2 gas: 0xa95e gasCost: 3
op: JUMP gas: 0xa95b gasCost: 8
op: JUMPDEST gas: 0xa953 gasCost: 1
op: PUSH1 gas: 0xa952 gasCost: 3
op: DUP1 gas: 0xa94f gasCost: 3
op: PUSH1 gas: 0xa94c gasCost: 3
op: DUP4 gas: 0xa949 gasCost: 3
op: DUP6 gas: 0xa946 gasCost: 3
op: SUB gas: 0xa943 gasCost: 3
op: SLT gas: 0xa940 gasCost: 3
op: ISZERO gas: 0xa93d gasCost: 3
op: PUSH2 gas: 0xa93a gasCost: 3
op: JUMPI gas: 0xa937 gasCost: 10
op: JUMPDEST gas: 0xa92d gasCost: 1
op: PUSH1 gas: 0xa92c gasCost: 3
op: PUSH2 gas: 0xa929 gasCost: 3
op: DUP6 gas: 0xa926 gasCost: 3
op: DUP3 gas: 0xa923 gasCost: 3
op: DUP7 gas: 0xa920 gasCost: 3
op: ADD gas: 0xa91d gasCost: 3
op: PUSH2 gas: 0xa91a gasCost: 3
op: JUMP gas: 0xa917 gasCost: 8
op: JUMPDEST gas: 0xa90f gasCost: 1
op: PUSH1 gas: 0xa90e gasCost: 3
op: DUP2 gas: 0xa90b gasCost: 3
op: CALLDATALOAD gas: 0xa908 gasCost: 3
op: SWAP1 gas: 0xa905 gasCost: 3
op: POP gas: 0xa902 gasCost: 2
op: PUSH2 gas: 0xa900 gasCost: 3
op: DUP2 gas: 0xa8fd gasCost: 3
op: PUSH2 gas: 0xa8fa gasCost: 3
op: JUMP gas: 0xa8f7 gasCost: 8
op: JUMPDEST gas: 0xa8ef gasCost: 1
op: PUSH2 gas: 0xa8ee gasCost: 3
op: DUP2 gas: 0xa8eb gasCost: 3
op: PUSH2 gas: 0xa8e8 gasCost: 3
op: JUMP gas: 0xa8e5 gasCost: 8
op: JUMPDEST gas: 0xa8dd gasCost: 1
op: PUSH1 gas: 0xa8dc gasCost: 3
op: PUSH2 gas: 0xa8d9 gasCost: 3
op: DUP3 gas: 0xa8d6 gasCost: 3
op: PUSH2 gas: 0xa8d3 gasCost: 3
op: JUMP gas: 0xa8d0 gasCost: 8
op: JUMPDEST gas: 0xa8c8 gasCost: 1
op: PUSH1 gas: 0xa8c7 gasCost: 3
op: PUSH20 gas: 0xa8c4 gasCost: 3
op: DUP3 gas: 0xa8c1 gasCost: 3
op: AND gas: 0xa8be gasCost: 3
op: SWAP1 gas: 0xa8bb gasCost: 3
op: POP gas: 0xa8b8 gasCost: 2
op: SWAP2 gas: 0xa8b6 gasCost: 3
op: SWAP1 gas: 0xa8b3 gasCost: 3
op: POP gas: 0xa8b0 gasCost: 2
op: JUMP gas: 0xa8ae gasCost: 8
op: JUMPDEST gas: 0xa8a6 gasCost: 1
op: SWAP1 gas: 0xa8a5 gasCost: 3
op: POP gas: 0xa8a2 gasCost: 2
op: SWAP2 gas: 0xa8a0 gasCost: 3
op: SWAP1 gas: 0xa89d gasCost: 3
op: POP gas: 0xa89a gasCost: 2
op: JUMP gas: 0xa898 gasCost: 8
op: JUMPDEST gas: 0xa890 gasCost: 1
op: DUP2 gas: 0xa88f gasCost: 3
op: EQ gas: 0xa88c gasCost: 3
op: PUSH2 gas: 0xa889 gasCost: 3
op: JUMPI gas: 0xa886 gasCost: 10
op: JUMPDEST gas: 0xa87c gasCost: 1
op: POP gas: 0xa87b gasCost: 2
op: JUMP gas: 0xa879 gasCost: 8
op: JUMPDEST gas: 0xa871 gasCost: 1
op: SWAP3 gas: 0xa870 gasCost: 3
op: SWAP2 gas: 0xa86d gasCost: 3
op: POP gas: 0xa86a gasCost: 2
op: POP gas: 0xa868 gasCost: 2
op: JUMP gas: 0xa866 gasCost: 8
op: JUMPDEST gas: 0xa85e gasCost: 1
op: SWAP3 gas: 0xa85d gasCost: 3
op: POP gas: 0xa85a gasCost: 2
op: POP gas: 0xa858 gasCost: 2
op: PUSH1 gas: 0xa856 gasCost: 3
op: PUSH2 gas: 0xa853 gasCost: 3
op: DUP6 gas: 0xa850 gasCost: 3
op: DUP3 gas: 0xa84d gasCost: 3
op: DUP7 gas: 0xa84a gasCost: 3
op: ADD gas: 0xa847 gasCost: 3
op: PUSH2 gas: 0xa844 gasCost: 3
op: JUMP gas: 0xa841 gasCost: 8
op: JUMPDEST gas: 0xa839 gasCost: 1
op: PUSH1 gas: 0xa838 gasCost: 3
op: DUP2 gas: 0xa835 gasCost: 3
op: CALLDATALOAD gas: 0xa832 gasCost: 3
op: SWAP1 gas: 0xa82f gasCost: 3
op: POP gas: 0xa82c gasCost: 2
op: PUSH2 gas: 0xa82a gasCost: 3
op: DUP2 gas: 0xa827 gasCost: 3
op: PUSH2 gas: 0xa824 gasCost: 3
op: JUMP gas: 0xa821 gasCost: 8
op: JUMPDEST gas: 0xa819 gasCost: 1
op: PUSH2 gas: 0xa818 gasCost: 3
op: DUP2 gas: 0xa815 gasCost: 3
op: PUSH2 gas: 0xa812 gasCost: 3
op: JUMP gas: 0xa80f gasCost: 8
op: JUMPDEST gas: 0xa807 gasCost: 1
op: PUSH1 gas: 0xa806 gasCost: 3
op: DUP2 gas: 0xa803 gasCost: 3
op: SWAP1 gas: 0xa800 gasCost: 3
op: POP gas: 0xa7fd gasCost: 2
op: SWAP2 gas: 0xa7fb gasCost: 3
op: SWAP1 gas: 0xa7f8 gasCost: 3
op: POP gas: 0xa7f5 gasCost: 2
op: JUMP gas: 0xa7f3 gasCost: 8
op: JUMPDEST gas: 0xa7eb gasCost: 1
op: DUP2 gas: 0xa7ea gasCost: 3
op: EQ gas: 0xa7e7 gasCost: 3
op: PUSH2 gas: 0xa7e4 gasCost: 3
op: JUMPI gas: 0xa7e1 gasCost: 10
op: JUMPDEST gas: 0xa7d7 gasCost: 1
op: POP gas: 0xa7d6 gasCost: 2
op: JUMP gas: 0xa7d4 gasCost: 8
op: JUMPDEST gas: 0xa7cc gasCost: 1
op: SWAP3 gas: 0xa7cb gasCost: 3
op: SWAP2 gas: 0xa7c8 gasCost: 3
op: POP gas: 0xa7c5 gasCost: 2
op: POP gas: 0xa7c3 gasCost: 2
op: JUMP gas: 0xa7c1 gasCost: 8
op: JUMPDEST gas: 0xa7b9 gasCost: 1
op: SWAP2 gas: 0xa7b8 gasCost: 3
op: POP gas: 0xa7b5 gasCost: 2
op: POP gas: 0xa7b3 gasCost: 2
op: SWAP3 gas: 0xa7b1 gasCost: 3
op: POP gas: 0xa7ae gasCost: 2
op: SWAP3 gas: 0xa7ac gasCost: 3
op: SWAP1 gas: 0xa7a9 gasCost: 3
op: POP gas: 0xa7a6 gasCost: 2
op: JUMP gas: 0xa7a4 gasCost: 8
op: JUMPDEST gas: 0xa79c gasCost: 1
op: PUSH2 gas: 0xa79b gasCost: 3
op: JUMP gas: 0xa798 gasCost: 8
op: JUMPDEST gas: 0xa790 gasCost: 1
op: PUSH1 gas: 0xa78f gasCost: 3
op: DUP1 gas: 0xa78c gasCost: 3
op: PUSH2 gas: 0xa789 gasCost: 3
op: PUSH2 gas: 0xa786 gasCost: 3
op: JUMP gas: 0xa783 gasCost: 8
op: JUMPDEST gas: 0xa77b gasCost: 1
op: PUSH1 gas: 0xa77a gasCost: 3
op: CALLER gas: 0xa777 gasCost: 2
op: SWAP1 gas: 0xa775 gasCost: 3
op: POP gas: 0xa772 gasCost: 2
op: SWAP1 gas: 0xa770 gasCost: 3
op: JUMP gas: 0xa76d gasCost: 8
op: JUMPDEST gas: 0xa765 gasCost: 1
op: SWAP1 gas: 0xa764 gasCost: 3
op: POP gas: 0xa761 gasCost: 2
op: PUSH2 gas: 0xa75f gasCost: 3
op: DUP2 gas: 0xa75c gasCost: 3
op: DUP6 gas: 0xa759 gasCost: 3
op: DUP6 gas: 0xa756 gasCost: 3
op: PUSH2 gas: 0xa753 gasCost: 3
op: JUMP gas: 0xa750 gasCost: 8
op: JUMPDEST gas: 0xa748 gasCost: 1
op: PUSH1 gas: 0xa747 gasCost: 3
op: PUSH20 gas: 0xa744 gasCost: 3
op: AND gas: 0xa741 gasCost: 3
op: DUP4 gas: 0xa73e gasCost: 3
op: PUSH20 gas: 0xa73b gasCost: 3
op: AND gas: 0xa738 gasCost: 3
op: EQ gas: 0xa735 gasCost: 3
op: ISZERO gas: 0xa732 gasCost: 3
op: PUSH2 gas: 0xa72f gasCost: 3
op: JUMPI gas: 0xa72c gasCost: 10
op: JUMPDEST gas: 0xa722 gasCost: 1
op: PUSH1 gas: 0xa721 gasCost: 3
op: PUSH20 gas: 0xa71e gasCost: 3
op: AND gas: 0xa71b gasCost: 3
op: DUP3 gas: 0xa718 gasCost: 3
op: PUSH20 gas: 0xa715 gasCost: 3
op: AND gas: 0xa712 gasCost: 3
