------------- opcode for test0 --------------
op: PUSH1 gas: 0xd0de gasCost: 3
op: PUSH1 gas: 0xd0db gasCost: 3
op: MSTORE gas: 0xd0d8 gasCost: 12
op: CALLVALUE gas: 0xd0cc gasCost: 2
op: DUP1 gas: 0xd0ca gasCost: 3
op: ISZERO gas: 0xd0c7 gasCost: 3
op: PUSH2 gas: 0xd0c4 gasCost: 3
op: JUMPI gas: 0xd0c1 gasCost: 10
op: JUMPDEST gas: 0xd0b7 gasCost: 1
op: POP gas: 0xd0b6 gasCost: 2
op: PUSH1 gas: 0xd0b4 gasCost: 3
op: CALLDATASIZE gas: 0xd0b1 gasCost: 2
op: LT gas: 0xd0af gasCost: 3
op: PUSH2 gas: 0xd0ac gasCost: 3
op: JUMPI gas: 0xd0a9 gasCost: 10
op: PUSH1 gas: 0xd09f gasCost: 3
op: CALLDATALOAD gas: 0xd09c gasCost: 3
op: PUSH1 gas: 0xd099 gasCost: 3
op: SHR gas: 0xd096 gasCost: 3
op: DUP1 gas: 0xd093 gasCost: 3
op: PUSH4 gas: 0xd090 gasCost: 3
op: GT gas: 0xd08d gasCost: 3
op: PUSH2 gas: 0xd08a gasCost: 3
op: JUMPI gas: 0xd087 gasCost: 10
op: JUMPDEST gas: 0xd07d gasCost: 1
op: DUP1 gas: 0xd07c gasCost: 3
op: PUSH4 gas: 0xd079 gasCost: 3
op: GT gas: 0xd076 gasCost: 3
op: PUSH2 gas: 0xd073 gasCost: 3
op: JUMPI gas: 0xd070 gasCost: 10
op: JUMPDEST gas: 0xd066 gasCost: 1
op: DUP1 gas: 0xd065 gasCost: 3
op: PUSH4 gas: 0xd062 gasCost: 3
op: EQ gas: 0xd05f gasCost: 3
op: PUSH2 gas: 0xd05c gasCost: 3
op: JUMPI gas: 0xd059 gasCost: 10
op: DUP1 gas: 0xd04f gasCost: 3
op: PUSH4 gas: 0xd04c gasCost: 3
op: EQ gas: 0xd049 gasCost: 3
op: PUSH2 gas: 0xd046 gasCost: 3
op: JUMPI gas: 0xd043 gasCost: 10
op: DUP1 gas: 0xd039 gasCost: 3
op: PUSH4 gas: 0xd036 gasCost: 3
op: EQ gas: 0xd033 gasCost: 3
op: PUSH2 gas: 0xd030 gasCost: 3
op: JUMPI gas: 0xd02d gasCost: 10
op: DUP1 gas: 0xd023 gasCost: 3
op: PUSH4 gas: 0xd020 gasCost: 3
op: EQ gas: 0xd01d gasCost: 3
op: PUSH2 gas: 0xd01a gasCost: 3
op: JUMPI gas: 0xd017 gasCost: 10
op: JUMPDEST gas: 0xd00d gasCost: 1
op: PUSH2 gas: 0xd00c gasCost: 3
op: PUSH1 gas: 0xd009 gasCost: 3
op: DUP1 gas: 0xd006 gasCost: 3
op: CALLDATASIZE gas: 0xd003 gasCost: 2
op: SUB gas: 0xd001 gasCost: 3
op: DUP2 gas: 0xcffe gasCost: 3
op: ADD gas: 0xcffb gasCost: 3
op: SWAP1 gas: 0xcff8 gasCost: 3
op: PUSH2 gas: 0xcff5 gasCost: 3
op: SWAP2 gas: 0xcff2 gasCost: 3
op: SWAP1 gas: 0xcfef gasCost: 3
op: PUSH2 gas: 0xcfec gasCost: 3
op: JUMP gas: 0xcfe9 gasCost: 8
op: JUMPDEST gas: 0xcfe1 gasCost: 1
op: PUSH1 gas: 0xcfe0 gasCost: 3
op: DUP1 gas: 0xcfdd gasCost: 3
op: PUSH1 gas: 0xcfda gasCost: 3
op: PUSH1 gas: 0xcfd7 gasCost: 3
op: DUP5 gas: 0xcfd4 gasCost: 3
op: DUP7 gas: 0xcfd1 gasCost: 3
op: SUB gas: 0xcfce gasCost: 3
op: SLT gas: 0xcfcb gasCost: 3
op: ISZERO gas: 0xcfc8 gasCost: 3
op: PUSH2 gas: 0xcfc5 gasCost: 3
op: JUMPI gas: 0xcfc2 gasCost: 10
op: JUMPDEST gas: 0xcfb8 gasCost: 1
op: PUSH1 gas: 0xcfb7 gasCost: 3
op: PUSH2 gas: 0xcfb4 gasCost: 3
op: DUP7 gas: 0xcfb1 gasCost: 3
op: DUP3 gas: 0xcfae gasCost: 3
op: DUP8 gas: 0xcfab gasCost: 3
op: ADD gas: 0xcfa8 gasCost: 3
op: PUSH2 gas: 0xcfa5 gasCost: 3
op: JUMP gas: 0xcfa2 gasCost: 8
op: JUMPDEST gas: 0xcf9a gasCost: 1
op: PUSH1 gas: 0xcf99 gasCost: 3
op: DUP2 gas: 0xcf96 gasCost: 3
op: CALLDATALOAD gas: 0xcf93 gasCost: 3
op: SWAP1 gas: 0xcf90 gasCost: 3
op: POP gas: 0xcf8d gasCost: 2
op: PUSH2 gas: 0xcf8b gasCost: 3
op: DUP2 gas: 0xcf88 gasCost: 3
op: PUSH2 gas: 0xcf85 gasCost: 3
op: JUMP gas: 0xcf82 gasCost: 8
op: JUMPDEST gas: 0xcf7a gasCost: 1
op: PUSH2 gas: 0xcf79 gasCost: 3
op: DUP2 gas: 0xcf76 gasCost: 3
op: PUSH2 gas: 0xcf73 gasCost: 3
op: JUMP gas: 0xcf70 gasCost: 8
op: JUMPDEST gas: 0xcf68 gasCost: 1
op: PUSH1 gas: 0xcf67 gasCost: 3
op: PUSH2 gas: 0xcf64 gasCost: 3
op: DUP3 gas: 0xcf61 gasCost: 3
op: PUSH2 gas: 0xcf5e gasCost: 3
op: JUMP gas: 0xcf5b gasCost: 8
op: JUMPDEST gas: 0xcf53 gasCost: 1
op: PUSH1 gas: 0xcf52 gasCost: 3
