------------- opcode for test0 --------------
op: PUSH1 gas: 0x9047 gasCost: 3
op: PUSH1 gas: 0x9044 gasCost: 3
op: MSTORE gas: 0x9041 gasCost: 12
op: CALLVALUE gas: 0x9035 gasCost: 2
op: DUP1 gas: 0x9033 gasCost: 3
op: ISZERO gas: 0x9030 gasCost: 3
op: PUSH2 gas: 0x902d gasCost: 3
op: JUMPI gas: 0x902a gasCost: 10
op: JUMPDEST gas: 0x9020 gasCost: 1
op: POP gas: 0x901f gasCost: 2
op: PUSH1 gas: 0x901d gasCost: 3
op: CALLDATASIZE gas: 0x901a gasCost: 2
op: LT gas: 0x9018 gasCost: 3
op: PUSH2 gas: 0x9015 gasCost: 3
op: JUMPI gas: 0x9012 gasCost: 10
op: PUSH1 gas: 0x9008 gasCost: 3
op: CALLDATALOAD gas: 0x9005 gasCost: 3
op: PUSH1 gas: 0x9002 gasCost: 3
op: SHR gas: 0x8fff gasCost: 3
op: DUP1 gas: 0x8ffc gasCost: 3
op: PUSH4 gas: 0x8ff9 gasCost: 3
op: GT gas: 0x8ff6 gasCost: 3
op: PUSH2 gas: 0x8ff3 gasCost: 3
op: JUMPI gas: 0x8ff0 gasCost: 10
op: JUMPDEST gas: 0x8fe6 gasCost: 1
op: DUP1 gas: 0x8fe5 gasCost: 3
op: PUSH4 gas: 0x8fe2 gasCost: 3
op: EQ gas: 0x8fdf gasCost: 3
op: PUSH2 gas: 0x8fdc gasCost: 3
op: JUMPI gas: 0x8fd9 gasCost: 10
op: DUP1 gas: 0x8fcf gasCost: 3
op: PUSH4 gas: 0x8fcc gasCost: 3
op: EQ gas: 0x8fc9 gasCost: 3
op: PUSH2 gas: 0x8fc6 gasCost: 3
op: JUMPI gas: 0x8fc3 gasCost: 10
op: JUMPDEST gas: 0x8fb9 gasCost: 1
op: PUSH2 gas: 0x8fb8 gasCost: 3
op: PUSH1 gas: 0x8fb5 gasCost: 3
op: DUP1 gas: 0x8fb2 gasCost: 3
op: CALLDATASIZE gas: 0x8faf gasCost: 2
op: SUB gas: 0x8fad gasCost: 3
op: DUP2 gas: 0x8faa gasCost: 3
op: ADD gas: 0x8fa7 gasCost: 3
op: SWAP1 gas: 0x8fa4 gasCost: 3
op: PUSH2 gas: 0x8fa1 gasCost: 3
op: SWAP2 gas: 0x8f9e gasCost: 3
op: SWAP1 gas: 0x8f9b gasCost: 3
op: PUSH2 gas: 0x8f98 gasCost: 3
op: JUMP gas: 0x8f95 gasCost: 8
op: JUMPDEST gas: 0x8f8d gasCost: 1
op: PUSH1 gas: 0x8f8c gasCost: 3
op: DUP1 gas: 0x8f89 gasCost: 3
op: PUSH1 gas: 0x8f86 gasCost: 3
