------------- opcode for test0 --------------
op: PUSH1 gas: 0xf21b gasCost: 3
op: PUSH1 gas: 0xf218 gasCost: 3
op: MSTORE gas: 0xf215 gasCost: 12
op: CALLVALUE gas: 0xf209 gasCost: 2
op: DUP1 gas: 0xf207 gasCost: 3
op: ISZERO gas: 0xf204 gasCost: 3
op: PUSH2 gas: 0xf201 gasCost: 3
op: JUMPI gas: 0xf1fe gasCost: 10
op: JUMPDEST gas: 0xf1f4 gasCost: 1
op: POP gas: 0xf1f3 gasCost: 2
op: PUSH1 gas: 0xf1f1 gasCost: 3
op: CALLDATASIZE gas: 0xf1ee gasCost: 2
op: LT gas: 0xf1ec gasCost: 3
op: PUSH2 gas: 0xf1e9 gasCost: 3
op: JUMPI gas: 0xf1e6 gasCost: 10
op: PUSH1 gas: 0xf1dc gasCost: 3
op: CALLDATALOAD gas: 0xf1d9 gasCost: 3
op: PUSH1 gas: 0xf1d6 gasCost: 3
op: SHR gas: 0xf1d3 gasCost: 3
op: DUP1 gas: 0xf1d0 gasCost: 3
op: PUSH4 gas: 0xf1cd gasCost: 3
op: GT gas: 0xf1ca gasCost: 3
op: PUSH2 gas: 0xf1c7 gasCost: 3
op: JUMPI gas: 0xf1c4 gasCost: 10
op: JUMPDEST gas: 0xf1ba gasCost: 1
op: DUP1 gas: 0xf1b9 gasCost: 3
op: PUSH4 gas: 0xf1b6 gasCost: 3
op: EQ gas: 0xf1b3 gasCost: 3
op: PUSH2 gas: 0xf1b0 gasCost: 3
op: JUMPI gas: 0xf1ad gasCost: 10
op: DUP1 gas: 0xf1a3 gasCost: 3
op: PUSH4 gas: 0xf1a0 gasCost: 3
op: EQ gas: 0xf19d gasCost: 3
op: PUSH2 gas: 0xf19a gasCost: 3
op: JUMPI gas: 0xf197 gasCost: 10
op: DUP1 gas: 0xf18d gasCost: 3
op: PUSH4 gas: 0xf18a gasCost: 3
op: EQ gas: 0xf187 gasCost: 3
op: PUSH2 gas: 0xf184 gasCost: 3
op: JUMPI gas: 0xf181 gasCost: 10
op: JUMPDEST gas: 0xf177 gasCost: 1
op: PUSH2 gas: 0xf176 gasCost: 3
op: PUSH1 gas: 0xf173 gasCost: 3
op: DUP1 gas: 0xf170 gasCost: 3
op: CALLDATASIZE gas: 0xf16d gasCost: 2
op: SUB gas: 0xf16b gasCost: 3
op: DUP2 gas: 0xf168 gasCost: 3
op: ADD gas: 0xf165 gasCost: 3
op: SWAP1 gas: 0xf162 gasCost: 3
op: PUSH2 gas: 0xf15f gasCost: 3
op: SWAP2 gas: 0xf15c gasCost: 3
op: SWAP1 gas: 0xf159 gasCost: 3
op: PUSH2 gas: 0xf156 gasCost: 3
op: JUMP gas: 0xf153 gasCost: 8
op: JUMPDEST gas: 0xf14b gasCost: 1
op: PUSH1 gas: 0xf14a gasCost: 3
op: DUP1 gas: 0xf147 gasCost: 3
op: PUSH1 gas: 0xf144 gasCost: 3
op: PUSH1 gas: 0xf141 gasCost: 3
op: DUP5 gas: 0xf13e gasCost: 3
op: DUP7 gas: 0xf13b gasCost: 3
op: SUB gas: 0xf138 gasCost: 3
op: SLT gas: 0xf135 gasCost: 3
op: ISZERO gas: 0xf132 gasCost: 3
op: PUSH2 gas: 0xf12f gasCost: 3
op: JUMPI gas: 0xf12c gasCost: 10
op: JUMPDEST gas: 0xf122 gasCost: 1
op: PUSH1 gas: 0xf121 gasCost: 3
op: PUSH2 gas: 0xf11e gasCost: 3
op: DUP7 gas: 0xf11b gasCost: 3
op: DUP3 gas: 0xf118 gasCost: 3
op: DUP8 gas: 0xf115 gasCost: 3
op: ADD gas: 0xf112 gasCost: 3
op: PUSH2 gas: 0xf10f gasCost: 3
op: JUMP gas: 0xf10c gasCost: 8
op: JUMPDEST gas: 0xf104 gasCost: 1
op: PUSH1 gas: 0xf103 gasCost: 3
op: DUP2 gas: 0xf100 gasCost: 3
op: CALLDATALOAD gas: 0xf0fd gasCost: 3
op: SWAP1 gas: 0xf0fa gasCost: 3
op: POP gas: 0xf0f7 gasCost: 2
op: PUSH2 gas: 0xf0f5 gasCost: 3
op: DUP2 gas: 0xf0f2 gasCost: 3
op: PUSH2 gas: 0xf0ef gasCost: 3
op: JUMP gas: 0xf0ec gasCost: 8
op: JUMPDEST gas: 0xf0e4 gasCost: 1
op: PUSH2 gas: 0xf0e3 gasCost: 3
op: DUP2 gas: 0xf0e0 gasCost: 3
op: PUSH2 gas: 0xf0dd gasCost: 3
op: JUMP gas: 0xf0da gasCost: 8
op: JUMPDEST gas: 0xf0d2 gasCost: 1
op: PUSH1 gas: 0xf0d1 gasCost: 3
op: PUSH2 gas: 0xf0ce gasCost: 3
op: DUP3 gas: 0xf0cb gasCost: 3
op: PUSH2 gas: 0xf0c8 gasCost: 3
op: JUMP gas: 0xf0c5 gasCost: 8
op: JUMPDEST gas: 0xf0bd gasCost: 1
op: PUSH1 gas: 0xf0bc gasCost: 3
op: PUSH20 gas: 0xf0b9 gasCost: 3
op: DUP3 gas: 0xf0b6 gasCost: 3
op: AND gas: 0xf0b3 gasCost: 3
op: SWAP1 gas: 0xf0b0 gasCost: 3
op: POP gas: 0xf0ad gasCost: 2
op: SWAP2 gas: 0xf0ab gasCost: 3
op: SWAP1 gas: 0xf0a8 gasCost: 3
op: POP gas: 0xf0a5 gasCost: 2
op: JUMP gas: 0xf0a3 gasCost: 8
op: JUMPDEST gas: 0xf09b gasCost: 1
op: SWAP1 gas: 0xf09a gasCost: 3
op: POP gas: 0xf097 gasCost: 2
op: SWAP2 gas: 0xf095 gasCost: 3
op: SWAP1 gas: 0xf092 gasCost: 3
op: POP gas: 0xf08f gasCost: 2
op: JUMP gas: 0xf08d gasCost: 8
